#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085710.1-p1      -            201 12989at5820          -            162   1.7e-94  312.4   7.8   1   2   2.8e-97   1.7e-94  312.4   7.8     1   159     1   163     1   170 0.94 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 12989at5820          -            162   1.7e-94  312.4   7.8   2   2     0.029        18    3.6   0.9   147   162   178   194   165   194 0.79 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 12989at5820          -            162   3.3e-07   28.7   0.2   1   1   5.6e-10   3.4e-07   28.6   0.2    23    76    30    86    14    91 0.84 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 12989at5820          -            162   2.6e-06   25.8   0.1   1   1     5e-09     3e-06   25.5   0.1     7    77    20    90    14    99 0.92 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 12989at5820          -            162   0.00013   20.3   0.8   1   1   4.2e-07   0.00026   19.3   0.8     5    73    12    71     8    80 0.81 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091835.1-p1      -            149 12989at5820          -            162   0.00019   19.7   0.0   1   1     4e-07   0.00025   19.3   0.0    16    78    22    81    11   101 0.81 | transcript=PVX_091835.1 | gene=PVX_091835 | organism=Plasmodium_vivax_Sal-1 | gene_product=LSM domain containing protein | transcript_product=LSM domain containing protein | location=Pv_Sal1_chr09:886964-887762(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088885.1-p1      -             95 12989at5820          -            162   0.00032   19.0   0.1   1   1   6.7e-07   0.00041   18.6   0.1     6    77     5    70     2    87 0.79 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002615.1-p1      -            101 12989at5820          -            162    0.0019   16.4   0.6   1   1   3.8e-06    0.0024   16.2   0.6    17    74    34    94    25    99 0.75 | transcript=PVX_002615.1 | gene=PVX_002615 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=Pv_Sal1_chr04:141438-141976(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118325.1-p1      -            101 12989at5820          -            162    0.0035   15.6   0.1   1   1   6.4e-06    0.0039   15.4   0.1    14    85    23    89    15   101 0.74 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 12989at5820          -            162     0.013   13.7   0.0   1   1   3.5e-05     0.022   13.0   0.0    14    73    21    72    11    83 0.71 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
