#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084620.1-p1      -            381 15223at5820          -             76  1.2e-112  366.7  10.6   1   5   2.6e-24   2.9e-21   73.9   0.1     1    76     1    76     1    76 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 15223at5820          -             76  1.2e-112  366.7  10.6   2   5   2.1e-24   2.3e-21   74.2   0.1     1    76    77   152    77   152 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 15223at5820          -             76  1.2e-112  366.7  10.6   3   5   2.1e-24   2.3e-21   74.2   0.1     1    76   153   228   153   228 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 15223at5820          -             76  1.2e-112  366.7  10.6   4   5   2.1e-24   2.3e-21   74.2   0.1     1    76   229   304   229   304 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 15223at5820          -             76  1.2e-112  366.7  10.6   5   5   2.1e-24   2.3e-21   74.2   0.1     1    76   305   380   305   380 1.00 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 15223at5820          -             76   2.8e-56  186.1   0.7   1   1   2.7e-59     3e-56  186.0   0.7     1    76     1    76     1    76 1.00 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 15223at5820          -             76   2.2e-22   77.5   0.1   1   1   2.5e-25   2.8e-22   77.2   0.1     1    76     1    76     1    76 0.99 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 15223at5820          -             76   1.7e-06   26.6   0.2   1   1   3.6e-09     4e-06   25.4   0.2    14    72    20    78     7    81 0.84 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 15223at5820          -             76   1.6e-05   23.5   0.0   1   1   2.4e-08   2.7e-05   22.8   0.0     5    70     7    72     1    75 0.93 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15223at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15223at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15223at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:24 2026
# [ok]
