#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000810.1-p1      -            843 3707at5820           -            659         0 1235.0  29.2   1   2     0.023        25    1.2   0.1    13    46    62    94    52   113 0.67 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 3707at5820           -            659         0 1235.0  29.2   2   2         0         0 1229.0  24.4    65   659   206   835   140   835 0.93 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099575.1-p1      -            783 3707at5820           -            659   5.9e-88  294.1  16.1   1   1   7.4e-91   8.2e-88  293.6  16.1    27   569   147   695   134   713 0.87 | transcript=PVX_099575.1 | gene=PVX_099575 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=Pv_Sal1_chr07:886026-888377(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3707at5820           -            659   8.6e-87  290.2  17.9   1   2   1.8e-07    0.0002   18.0   0.0    74   114   463   503   411   526 0.75 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123515.1-p1      -           1104 3707at5820           -            659   8.6e-87  290.2  17.9   2   2   1.4e-84   1.5e-81  272.8  14.8   130   647   551  1073   542  1082 0.90 | transcript=PVX_123515.1 | gene=PVX_123515 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=Pv_Sal1_chr14:1484265-1487579(+) | protein_length=1104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089405.1-p1      -            662 3707at5820           -            659   3.6e-30  103.1   3.8   1   1   1.5e-32   1.6e-29  100.9   3.8    79   639    48   639    32   650 0.75 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3707at5820           -            659   1.9e-27   94.1  10.8   1   3   2.2e-16   2.4e-13   47.5   0.3    80   293    67   267    62   271 0.73 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3707at5820           -            659   1.9e-27   94.1  10.8   2   3   1.6e-15   1.8e-12   44.6   1.0   343   571   365   603   359   631 0.76 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3707at5820           -            659   1.9e-27   94.1  10.8   3   3   3.1e-06    0.0034   14.0   2.2   426   570   538   688   525   692 0.72 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3707at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3707at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3707at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:23 2026
# [ok]
