#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002745.1-p1      -            272 11219at5820          -            205  4.3e-102  338.2  35.0   1   1    1e-101   4.7e-99  328.2  35.0     2   205    13   252    12   252 0.88 | transcript=PVX_002745.1 | gene=PVX_002745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:235174-237527(+) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 11219at5820          -            205   3.5e-22   77.2  13.8   1   2    0.0014      0.66    7.7   0.6     6    62    16    71     4    97 0.59 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091430.1-p1      -            294 11219at5820          -            205   3.5e-22   77.2  13.8   2   2   9.9e-24   4.6e-21   73.6   7.4    61   203    97   249    84   251 0.78 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113640.1-p1      -            284 11219at5820          -            205   4.8e-22   76.7  21.3   1   1     1e-23   4.7e-21   73.5  21.3    22   128    48   166    23   260 0.73 | transcript=PVX_113640.1 | gene=PVX_113640 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr11:1617899-1619565(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 11219at5820          -            205   1.3e-21   75.4  13.4   1   2       2.4   1.1e+03   -2.8   1.7    15    25   159   169   135   214 0.52 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079830.1-p1      -            437 11219at5820          -            205   1.3e-21   75.4  13.4   2   2   2.8e-24   1.3e-21   75.4  13.4    59   205   246   405   235   405 0.72 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 11219at5820          -            205   5.8e-17   60.1  13.5   1   2       1.5   7.1e+02   -2.2   1.8    88   110   255   279   218   329 0.63 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 11219at5820          -            205   5.8e-17   60.1  13.5   2   2   1.3e-19   5.8e-17   60.1  13.5    60   178   431   552   422   567 0.72 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 11219at5820          -            205   6.8e-17   59.9  11.6   1   2       6.4     3e+03   -4.2   6.2   109   147    42    81    22    96 0.48 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122880.1-p1      -            297 11219at5820          -            205   6.8e-17   59.9  11.6   2   2   1.5e-19   6.8e-17   59.9  11.6    60   135   127   203   114   270 0.69 | transcript=PVX_122880.1 | gene=PVX_122880 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:955183-957821(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 11219at5820          -            205   1.6e-16   58.7  19.2   1   2       1.1   4.9e+02   -1.7   0.6    10    66    47   108    42   114 0.62 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122945.1-p1      -           1013 11219at5820          -            205   1.6e-16   58.7  19.2   2   2   3.4e-19   1.6e-16   58.7  19.2    57   187   135   281   125   294 0.71 | transcript=PVX_122945.1 | gene=PVX_122945 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr14:1019378-1023202(+) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 11219at5820          -            205   1.6e-15   55.5   5.8   1   2     0.047        22    2.8   0.0    24    75    25    75     6    84 0.72 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 11219at5820          -            205   1.6e-15   55.5   5.8   2   2   1.1e-16   5.1e-14   50.5   5.3    60   172   302   418   294   428 0.70 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 11219at5820          -            205   1.2e-14   52.6   6.1   1   2      0.06        28    2.4   0.4     5    59    34    87    24   104 0.77 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111325.1-p1      -            281 11219at5820          -            205   1.2e-14   52.6   6.1   2   2   2.5e-17   1.2e-14   52.6   6.1    60   204   111   264   100   265 0.72 | transcript=PVX_111325.1 | gene=PVX_111325 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr06:553939-556527(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 11219at5820          -            205   2.9e-14   51.3  15.7   1   2   6.2e-17   2.9e-14   51.3  15.7    61   128   109   176    95   184 0.87 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 11219at5820          -            205   2.9e-14   51.3  15.7   2   2       3.4   1.6e+03   -3.3   5.7    97   142   191   240   178   246 0.63 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 11219at5820          -            205   9.4e-13   46.4  11.4   1   2     2e-15   9.4e-13   46.4  11.4    59   129   100   173    77   184 0.80 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
