#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123457.1-p1      -             68 15483at5820          -             56   7.1e-34  113.7   6.1   1   1   6.6e-37   9.1e-34  113.4   6.1     1    56     7    67     7    67 0.95 | transcript=PVX_123457.1 | gene=PVX_123457 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:1450976-1452068(-) | protein_length=68 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122962.1-p1      -             98 15483at5820          -             56   0.00084   17.4   2.3   1   2      0.02        28    2.9   0.6    17    42     7    27     4    47 0.74 | transcript=PVX_122962.1 | gene=PVX_122962 | organism=Plasmodium_vivax_Sal-1 | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=Pv_Sal1_chr14:1038830-1039307(-) | protein_length=98 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122962.1-p1      -             98 15483at5820          -             56   0.00084   17.4   2.3   2   2     1e-05     0.014   13.5   0.0     8    38    58    89    53    94 0.87 | transcript=PVX_122962.1 | gene=PVX_122962 | organism=Plasmodium_vivax_Sal-1 | gene_product=C-Myc-binding protein, putative | transcript_product=C-Myc-binding protein, putative | location=Pv_Sal1_chr14:1038830-1039307(-) | protein_length=98 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086005.1-p1      -            340 15483at5820          -             56      0.51    8.5   6.3   1   5       0.4   5.6e+02   -1.2   0.0    22    34   130   142   121   146 0.83 | transcript=PVX_086005.1 | gene=PVX_086005 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=Pv_Sal1_chr13:1725213-1726235(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086005.1-p1      -            340 15483at5820          -             56      0.51    8.5   6.3   2   5       1.7   2.3e+03   -3.2   0.0    12    26   170   184   164   188 0.73 | transcript=PVX_086005.1 | gene=PVX_086005 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=Pv_Sal1_chr13:1725213-1726235(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086005.1-p1      -            340 15483at5820          -             56      0.51    8.5   6.3   3   5      0.15     2e+02    0.2   0.1    35    55   249   269   245   270 0.84 | transcript=PVX_086005.1 | gene=PVX_086005 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=Pv_Sal1_chr13:1725213-1726235(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086005.1-p1      -            340 15483at5820          -             56      0.51    8.5   6.3   4   5      0.83   1.1e+03   -2.2   0.0    17    25   273   281   272   283 0.85 | transcript=PVX_086005.1 | gene=PVX_086005 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=Pv_Sal1_chr13:1725213-1726235(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086005.1-p1      -            340 15483at5820          -             56      0.51    8.5   6.3   5   5   0.00043      0.59    8.3   0.2    19    34   287   302   278   306 0.89 | transcript=PVX_086005.1 | gene=PVX_086005 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA-dihydrouridine synthase, putative | transcript_product=tRNA-dihydrouridine synthase, putative | location=Pv_Sal1_chr13:1725213-1726235(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091380.1-p1      -            394 15483at5820          -             56       1.6    6.9   7.7   1   2   0.00028      0.39    8.9   2.8     2    23    81   102    80   105 0.90 | transcript=PVX_091380.1 | gene=PVX_091380 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=Pv_Sal1_chr09:469020-471593(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091380.1-p1      -            394 15483at5820          -             56       1.6    6.9   7.7   2   2       0.4   5.5e+02   -1.2   0.2    13    20   142   149   131   151 0.68 | transcript=PVX_091380.1 | gene=PVX_091380 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycerol-3-phosphate dehydrogenase, putative | transcript_product=glycerol-3-phosphate dehydrogenase, putative | location=Pv_Sal1_chr09:469020-471593(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
