#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   1   7   3.5e-27   6.4e-24   82.8   0.0     1    66     1    66     1    75 0.93 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   2   7   3.1e-20   5.7e-17   59.9   0.1    73   118   205   255   169   260 0.79 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   3   7   1.7e-33   3.2e-30  103.6  27.2   117   256   322   471   259   471 0.92 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   4   7   6.6e-55   1.2e-51  174.3  27.8   177   361   432   622   430   707 0.72 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   5   7   8.5e-17   1.6e-13   48.6   7.6   277   448   746   915   619   930 0.53 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   6   7    0.0034       6.2    3.7   0.7   374   453   909   988   902   997 0.84 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091662.1-p1      -           1191 2762at5820           -            488  1.9e-146  486.9  80.8   7   7   1.8e-15   3.4e-12   44.2   0.2   453   488  1147  1182  1135  1182 0.90 | transcript=PVX_091662.1 | gene=PVX_091662 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:698828-702403(-) | protein_length=1191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081830.1-p1      -            495 2762at5820           -            488    0.0017   15.4  42.8   1   3   0.00016       0.3    8.1   1.5   185   275   116   162    92   178 0.53 | transcript=PVX_081830.1 | gene=PVX_081830 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr02:719184-720951(+) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081830.1-p1      -            495 2762at5820           -            488    0.0017   15.4  42.8   2   3   3.2e-05     0.059   10.4  10.6   172   271   243   340   222   346 0.71 | transcript=PVX_081830.1 | gene=PVX_081830 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr02:719184-720951(+) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081830.1-p1      -            495 2762at5820           -            488    0.0017   15.4  42.8   3   3   0.00065       1.2    6.1  20.0   175   327   327   471   318   489 0.77 | transcript=PVX_081830.1 | gene=PVX_081830 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr02:719184-720951(+) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114005.1-p1      -            122 2762at5820           -            488     0.043   10.8   0.0   1   1   2.6e-05     0.048   10.7   0.0   136   201    13    75     1    94 0.33 | transcript=PVX_114005.1 | gene=PVX_114005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:1322666-1323034(+) | protein_length=122 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
