#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123215.1-p1      -            606 5840at5820           -            458  9.3e-239  791.1  63.4   1   3   7.5e-70   5.2e-67  224.9   7.3     1   135     1   140     1   150 0.91 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 5840at5820           -            458  9.3e-239  791.1  63.4   2   3   4.8e-38   3.3e-35  120.0   3.8   138   201   241   304   226   317 0.92 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 5840at5820           -            458  9.3e-239  791.1  63.4   3   3    1e-140  7.1e-138  458.5  36.5   198   457   331   601   323   602 0.96 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 5840at5820           -            458   1.1e-13   49.1  15.4   1   3    0.0051       3.5    4.6   0.1   315   356   128   171    90   181 0.82 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 5840at5820           -            458   1.1e-13   49.1  15.4   2   3   1.3e-12     9e-10   36.2   2.1   375   454   215   296   194   299 0.88 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 5840at5820           -            458   1.1e-13   49.1  15.4   3   3   2.2e-06    0.0015   15.7   2.0   376   454   414   505   391   509 0.72 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 5840at5820           -            458   4.4e-09   33.9   2.8   1   2   1.3e-06   0.00091   16.4   0.0   365   442    20   101     7   116 0.82 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 5840at5820           -            458   4.4e-09   33.9   2.8   2   2   9.9e-06    0.0068   13.5   2.2   308   456   167   312   153   313 0.73 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 5840at5820           -            458   7.6e-09   33.2   5.6   1   4   0.00024      0.17    8.9   0.0    43    70    25    53     4    57 0.75 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 5840at5820           -            458   7.6e-09   33.2   5.6   2   4   4.4e-07    0.0003   18.0   2.9   322   450    88   225    75   228 0.76 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 5840at5820           -            458   7.6e-09   33.2   5.6   3   4   1.7e-07   0.00012   19.4   1.3    52   155   158   260   138   271 0.73 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
