#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124170.1-p1      -            376 7425at5820           -            101   2.7e-62  205.6   0.2   1   2      0.11        97    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVX_124170.1 | gene=PVX_124170 | organism=Plasmodium_vivax_Sal-1 | gene_product=sun-family protein, putative | transcript_product=sun-family protein, putative | location=Pv_Sal1_chr14:2106073-2107427(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124170.1-p1      -            376 7425at5820           -            101   2.7e-62  205.6   0.2   2   2   6.5e-64     6e-61  201.3   0.1     1   101   269   374   269   374 0.96 | transcript=PVX_124170.1 | gene=PVX_124170 | organism=Plasmodium_vivax_Sal-1 | gene_product=sun-family protein, putative | transcript_product=sun-family protein, putative | location=Pv_Sal1_chr14:2106073-2107427(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 7425at5820           -            101   8.6e-11   40.3   3.5   1   3      0.62   5.7e+02   -0.8   0.0     5    36   110   141   108   155 0.75 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 7425at5820           -            101   8.6e-11   40.3   3.5   2   3       1.4   1.3e+03   -1.9   0.1     5    42   172   212   170   223 0.58 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092085.1-p1      -            615 7425at5820           -            101   8.6e-11   40.3   3.5   3   3   1.4e-13   1.3e-10   39.8   0.1     2    75   379   456   378   463 0.88 | transcript=PVX_092085.1 | gene=PVX_092085 | organism=Plasmodium_vivax_Sal-1 | gene_product=proliferating-cell nucleolar antigen p120, putative | transcript_product=proliferating-cell nucleolar antigen p120, putative | location=Pv_Sal1_chr09:1081089-1082936(-) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 7425at5820           -            101   1.4e-07   30.0   0.0   1   1     1e-09   9.3e-07   27.4   0.0     2    62   346   411   345   425 0.82 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001880.1-p1      -            556 7425at5820           -            101   1.5e-05   23.5   0.0   1   2       2.4   2.2e+03   -2.7   0.0     1    14   311   324   311   328 0.87 | transcript=PVX_001880.1 | gene=PVX_001880 | organism=Plasmodium_vivax_Sal-1 | gene_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | transcript_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | location=Pv_Sal1_chr06:221371-223211(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001880.1-p1      -            556 7425at5820           -            101   1.5e-05   23.5   0.0   2   2   9.2e-08   8.5e-05   21.1   0.0    20    66   439   485   430   500 0.87 | transcript=PVX_001880.1 | gene=PVX_001880 | organism=Plasmodium_vivax_Sal-1 | gene_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | transcript_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | location=Pv_Sal1_chr06:221371-223211(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 7425at5820           -            101    0.0095   14.5   1.0   1   3      0.75   6.9e+02   -1.1   0.0    14    56   163   204   152   225 0.62 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 7425at5820           -            101    0.0095   14.5   1.0   2   3       1.9   1.7e+03   -2.4   0.0    51    63   267   278   243   294 0.62 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091200.1-p1      -            505 7425at5820           -            101    0.0095   14.5   1.0   3   3   8.8e-05     0.081   11.5   0.3     4    74   340   417   337   428 0.69 | transcript=PVX_091200.1 | gene=PVX_091200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:335592-337109(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
