#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002640.1-p1      -            330 8180at5820           -            296  2.5e-184  609.6   6.5   1   1  6.2e-187  3.4e-184  609.1   6.5     1   296     1   328     1   328 0.97 | transcript=PVX_002640.1 | gene=PVX_002640 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 2, putative | transcript_product=replication factor C subunit 2, putative | location=Pv_Sal1_chr04:155279-156271(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 8180at5820           -            296   1.7e-55  186.6   1.2   1   1   4.1e-58   2.3e-55  186.2   1.2     4   260    13   279    10   295 0.81 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100985.1-p1      -            336 8180at5820           -            296   8.6e-47  158.0   3.2   1   1   3.2e-49   1.8e-46  157.0   3.2     6   226    18   241    13   287 0.85 | transcript=PVX_100985.1 | gene=PVX_100985 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 4, putative | transcript_product=replication factor C subunit 4, putative | location=Pv_Sal1_chr14:2565421-2566781(+) | protein_length=336 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091205.1-p1      -            349 8180at5820           -            296   3.5e-22   77.2   0.4   1   2   6.4e-25   3.5e-22   77.2   0.4     6   165     2   181     1   197 0.77 | transcript=PVX_091205.1 | gene=PVX_091205 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=Pv_Sal1_chr09:337612-338661(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091205.1-p1      -            349 8180at5820           -            296   3.5e-22   77.2   0.4   2   2      0.32   1.8e+02   -0.6   0.6   135   273   288   319   244   341 0.59 | transcript=PVX_091205.1 | gene=PVX_091205 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 5, putative | transcript_product=replication factor C subunit 5, putative | location=Pv_Sal1_chr09:337612-338661(-) | protein_length=349 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 8180at5820           -            296   8.9e-10   36.5   4.7   1   2   7.3e-05      0.04   11.4   0.1     3    30   393   420   391   425 0.89 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002575.1-p1      -            945 8180at5820           -            296   8.9e-10   36.5   4.7   2   2   2.5e-09   1.4e-06   26.0   1.2    33   210   449   624   436   646 0.75 | transcript=PVX_002575.1 | gene=PVX_002575 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C subunit 1, putative | transcript_product=replication factor C subunit 1, putative | location=Pv_Sal1_chr04:113526-116363(+) | protein_length=945 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 8180at5820           -            296   0.00014   19.5   0.0   1   2    0.0037       2.1    5.8   0.0     8    57   198   250   194   269 0.74 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 8180at5820           -            296   0.00014   19.5   0.0   2   2   0.00011      0.06   10.8   0.0    15    64   612   661   605   711 0.83 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 8180at5820           -            296    0.0027   15.3   0.4   1   2   1.4e-05    0.0078   13.7   0.0    31    64   341   376   314   390 0.75 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 8180at5820           -            296    0.0027   15.3   0.4   2   2       1.5   8.2e+02   -2.8   0.2   140   190   469   519   459   535 0.80 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 8180at5820           -            296    0.0066   14.0   0.0   1   2    0.0052       2.8    5.3   0.0    23    59   337   372   318   386 0.75 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 8180at5820           -            296    0.0066   14.0   0.0   2   2    0.0051       2.8    5.3   0.0    21    61   777   817   760   841 0.85 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 8180at5820           -            296     0.013   13.0   0.0   1   1   4.5e-05     0.025   12.1   0.0    37    80   257   299   230   304 0.78 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 8180at5820           -            296     0.029   11.8   0.0   1   2    0.0019         1    6.8   0.0    37    57   513   533   507   579 0.92 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 8180at5820           -            296     0.029   11.8   0.0   2   2     0.041        22    2.4   0.0    37    58   833   854   822   866 0.84 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
