#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122890.1-p1      -            783 3852at5820           -            646         0 1192.7  83.9   1   3  4.5e-176  6.2e-173  574.9  48.3     1   322    11   365    11   374 0.94 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3852at5820           -            646         0 1192.7  83.9   2   3    0.0012       1.7    5.2   0.3   319   337   389   407   384   419 0.87 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3852at5820           -            646         0 1192.7  83.9   3   3    5e-190  6.9e-187  621.0  21.7   334   646   443   778   421   778 0.96 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3852at5820           -            646   1.3e-63  213.7  22.3   1   4       2.5   3.4e+03   -5.8   9.6   244   397   241   388   223   396 0.72 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3852at5820           -            646   1.3e-63  213.7  22.3   2   4   2.7e-05     0.038   10.6  33.3    12   275   415   695   406   767 0.67 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3852at5820           -            646   1.3e-63  213.7  22.3   3   4   9.1e-67   1.3e-63  213.7  22.3   323   623   815  1124   757  1132 0.87 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 3852at5820           -            646   1.3e-63  213.7  22.3   4   4      0.15   2.1e+02   -1.8   0.6   607   629  1133  1155  1122  1162 0.83 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3852at5820           -            646     4e-45  152.6  29.7   1   4       0.7   9.7e+02   -4.0   0.4   606   628    91   113    78   115 0.86 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3852at5820           -            646     4e-45  152.6  29.7   2   4         4   5.5e+03   -9.7   6.6    74   108   285   320   256   341 0.50 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3852at5820           -            646     4e-45  152.6  29.7   3   4         4   5.5e+03  -13.2  10.6    77   103   406   429   377   458 0.35 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 3852at5820           -            646     4e-45  152.6  29.7   4   4   2.9e-48     4e-45  152.6  29.7   236   623   582   982   563   995 0.78 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
