#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   1   8     5e-84   4.6e-81  271.4   2.7     3   174     5   189     3   194 0.92 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   2   8   2.8e-26   2.6e-23   80.2   0.0   174   239   279   345   263   349 0.94 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   3   8   2.3e-16   2.1e-13   47.4   1.1   239   275   371   408   368   415 0.89 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   4   8   5.7e-69   5.3e-66  221.5   6.1   276   417   522   672   519   677 0.94 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   5   8  4.8e-108  4.5e-105  350.9   0.6   417   666   696   993   691   999 0.87 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   6   8   8.4e-09   7.7e-06   22.3   0.2   667   721  1031  1091  1028  1159 0.68 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   7   8   5.3e-34   4.9e-31  105.7  12.6   739   868  1581  1750  1541  1755 0.73 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 719at5820            -           1037         0 1403.6  80.9   8   8  1.9e-103  1.7e-100  335.7  12.6   868  1037  1785  1955  1780  1955 0.98 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 719at5820            -           1037   7.8e-87  290.5  13.7   1   2   4.8e-86   4.4e-83  278.1   6.0    12   560    35   625    26   639 0.79 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 719at5820            -           1037   7.8e-87  290.5  13.7   2   2   4.1e-07   0.00037   16.7   0.8   603   703   646   771   635   805 0.65 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097755.1-p1      -            800 719at5820            -           1037   1.6e-72  243.1  63.1   1   1   6.2e-72   5.7e-69  231.3  63.1    12   713    29   758    19   795 0.79 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 719at5820            -           1037   1.3e-46  157.4   1.8   1   2   1.6e-33   1.5e-30  104.1   0.0    32   253    35   275    12   281 0.79 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
