#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089620.1-p1      -            392 10051at5820          -            291  5.5e-134  444.5  22.7   1   2     0.034        27    2.4   0.0     1    19    16    34    16    36 0.91 | transcript=PVX_089620.1 | gene=PVX_089620 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=Pv_Sal1_chr05:705224-706587(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089620.1-p1      -            392 10051at5820          -            291  5.5e-134  444.5  22.7   2   2  6.3e-136    5e-133  441.3  19.8    16   291    99   392    97   392 0.94 | transcript=PVX_089620.1 | gene=PVX_089620 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=Pv_Sal1_chr05:705224-706587(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 10051at5820          -            291   1.4e-26   91.9   9.4   1   5   2.9e-07   0.00023   19.0   0.1    33    89    11    69     3    80 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 10051at5820          -            291   1.4e-26   91.9   9.4   2   5   3.5e-07   0.00027   18.8   0.1    33    89    87   145    77   151 0.82 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 10051at5820          -            291   1.4e-26   91.9   9.4   3   5   3.1e-07   0.00025   18.9   0.1    33    89   163   221   153   235 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 10051at5820          -            291   1.4e-26   91.9   9.4   4   5   3.3e-07   0.00026   18.9   0.1    33    89   239   297   229   308 0.83 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 10051at5820          -            291   1.4e-26   91.9   9.4   5   5   3.5e-07   0.00028   18.7   0.1    33    89   315   373   304   378 0.82 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115255.1-p1      -            128 10051at5820          -            291   1.5e-07   29.5   0.0   1   1   2.2e-10   1.8e-07   29.3   0.0    33   101    11    82     3   102 0.78 | transcript=PVX_115255.1 | gene=PVX_115255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=Pv_Sal1_chr11:205671-206477(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086305.1-p1      -            149 10051at5820          -            291   1.8e-05   22.7   2.4   1   1   3.5e-08   2.8e-05   22.0   2.4    36    79    14    57     5   110 0.78 | transcript=PVX_086305.1 | gene=PVX_086305 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-40S ribosomal protein S27a, putative | transcript_product=ubiquitin-40S ribosomal protein S27a, putative | location=Pv_Sal1_chr13:1992584-1994140(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 10051at5820          -            291     0.003   15.4   0.1   1   1   3.8e-06     0.003   15.4   0.1    38    88    16    68     6    74 0.81 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 10051at5820          -            291    0.0095   13.7   0.0   1   1   1.9e-05     0.015   13.1   0.0    33    75    13    55     7    76 0.84 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
