#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079865.1-p1      -            463 11717at5820          -            359  1.1e-220  730.1  68.3   1   3   1.8e-19   4.9e-17   60.2   5.7     1    57     4    70     4    80 0.83 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 11717at5820          -            359  1.1e-220  730.1  68.3   2   3  7.3e-159    2e-156  518.7  18.6    42   306    80   352    72   356 0.89 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 11717at5820          -            359  1.1e-220  730.1  68.3   3   3   8.9e-51   2.4e-48  163.2  34.3   257   359   349   452   349   452 0.96 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089425.1-p1      -            690 11717at5820          -            359   2.5e-10   38.1  36.6   1   1   4.8e-12   1.3e-09   35.7  36.6   226   316   593   688   527   689 0.72 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090210.1-p1      -            285 11717at5820          -            359   7.5e-08   30.0  12.9   1   1   3.7e-10     1e-07   29.5  12.9   144   314    60   236    51   244 0.66 | transcript=PVX_090210.1 | gene=PVX_090210 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich protein | transcript_product=asparagine-rich protein | location=Pv_Sal1_chr05:1230371-1231228(+) | protein_length=285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 11717at5820          -            359   1.1e-07   29.5  11.3   1   2      0.39   1.1e+02   -0.2   0.0    25    65   700   740   693   754 0.88 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 11717at5820          -            359   1.1e-07   29.5  11.3   2   2   3.8e-10   1.1e-07   29.5  11.3   252   307  1179  1232  1139  1242 0.65 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002580.1-p1      -            376 11717at5820          -            359   7.6e-06   23.4   2.5   1   1   4.8e-08   1.3e-05   22.6   2.5   263   303   249   289   238   301 0.69 | transcript=PVX_002580.1 | gene=PVX_002580 | organism=Plasmodium_vivax_Sal-1 | gene_product=pseudouridine synthetase, putative | transcript_product=pseudouridine synthetase, putative | location=Pv_Sal1_chr04:117492-119011(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114005.1-p1      -            122 11717at5820          -            359   1.2e-05   22.7   0.2   1   2   9.1e-05     0.025   11.8   0.0   265   302     8    45     1    51 0.41 | transcript=PVX_114005.1 | gene=PVX_114005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:1322666-1323034(+) | protein_length=122 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114005.1-p1      -            122 11717at5820          -            359   1.2e-05   22.7   0.2   2   2   0.00012     0.034   11.4   0.1   266   304    45    83    40    95 0.48 | transcript=PVX_114005.1 | gene=PVX_114005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr11:1322666-1323034(+) | protein_length=122 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 11717at5820          -            359   2.1e-05   21.9   5.9   1   2     0.041        11    3.1   3.4   190   267  1487  1565  1457  1595 0.70 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 11717at5820          -            359   2.1e-05   21.9   5.9   2   2   7.4e-08   2.1e-05   21.9   5.9   239   314  1615  1694  1602  1715 0.76 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082855.1-p1      -            718 11717at5820          -            359     8e-05   20.0   9.7   1   2     3e-07   8.4e-05   19.9   1.1   265   319   272   327   260   334 0.61 | transcript=PVX_082855.1 | gene=PVX_082855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:639203-641359(-) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
