#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   1   6   3.2e-72   5.8e-69  231.5  15.1     1   143     1   154     1   168 0.94 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   2   6  2.4e-108  4.5e-105  351.1  18.5   143   341   377   577   352   585 0.95 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   3   6  2.2e-100     4e-97  324.7  10.1   343   519   641   827   635   837 0.95 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   4   6  5.9e-104  1.1e-100  336.6   4.6   518   681   867  1030   858  1038 0.97 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   5   6         0         0 1037.3  38.7   681  1189  1089  1619  1082  1627 0.98 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000650.1-p1      -           1758 598at5820            -           1293         0 2411.2 128.1   6   6   1.3e-50   2.4e-47  159.8   1.7  1190  1293  1645  1758  1640  1758 0.94 | transcript=PVX_000650.1 | gene=PVX_000650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase alpha, putative | transcript_product=DNA polymerase alpha, putative | location=Pv_Sal1_chr03:405814-411721(-) | protein_length=1758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001720.1-p1      -           1096 598at5820            -           1293   3.7e-49  165.9  21.3   1   2   3.6e-15   6.6e-12   42.4   0.8   394   525   363   492   331   500 0.81 | transcript=PVX_001720.1 | gene=PVX_001720 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=Pv_Sal1_chr06:87639-90929(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001720.1-p1      -           1096 598at5820            -           1293   3.7e-49  165.9  21.3   2   2   1.5e-40   2.7e-37  126.5  13.7   627   950   566   906   539   950 0.78 | transcript=PVX_001720.1 | gene=PVX_001720 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase delta catalytic subunit, putative | transcript_product=DNA polymerase delta catalytic subunit, putative | location=Pv_Sal1_chr06:87639-90929(+) | protein_length=1096 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 598at5820            -           1293   3.7e-10   36.6  13.6   1   5     0.058   1.1e+02   -1.3   4.0   386   493   684   780   655   802 0.76 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 598at5820            -           1293   3.7e-10   36.6  13.6   2   5   2.2e-07   0.00041   16.6   0.1   644   680   929   965   922   975 0.84 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 598at5820            -           1293   3.7e-10   36.6  13.6   3   5   3.5e-12   6.4e-09   32.5   9.0   688   887  1140  1333  1128  1340 0.87 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 598at5820            -           1293   3.7e-10   36.6  13.6   4   5     0.077   1.4e+02   -1.7   1.0   884   927  1547  1591  1475  1651 0.70 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110910.1-p1      -           1880 598at5820            -           1293   3.7e-10   36.6  13.6   5   5      0.27     5e+02   -3.5   0.1  1000  1019  1706  1725  1700  1729 0.81 | transcript=PVX_110910.1 | gene=PVX_110910 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase zeta catalytic subunit, putative | transcript_product=DNA polymerase zeta catalytic subunit, putative | location=Pv_Sal1_chr06:863671-869819(+) | protein_length=1880 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/598at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
