#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   1   5  3.3e-112  1.8e-109  364.8  15.6     1   203    14   217    14   226 0.82 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   2   5   0.00062      0.34    8.1  42.6   147   309   230   405   221   416 0.64 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   3   5   9.9e-24   5.5e-21   73.3  29.2   163   279   456   582   411   586 0.72 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   4   5   4.9e-47   2.7e-44  150.1  27.0   208   379   623   794   603   828 0.76 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7767at5820           -            425    4e-197  653.6 151.0   5   5   1.3e-26   7.3e-24   82.8   4.4   374   425   931   982   915   982 0.89 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   1   6   1.2e-37   6.5e-35  119.2  16.4     5   131    38   164    34   222 0.79 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   2   6     0.054        30    1.7   0.9   165   219   165   224   154   247 0.78 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   3   6       4.5   2.5e+03   -4.7  10.1   147   238   313   400   294   406 0.63 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   4   6        10   5.5e+03  -23.2  35.7   121   271   454   604   450   634 0.58 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   5   6        10   5.5e+03  -11.0  12.8   215   278   630   693   614   717 0.49 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7767at5820           -            425   6.5e-35  119.2  16.4   6   6        10   5.5e+03   -8.3   8.4   152   205   741   780   678   828 0.49 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
