#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110895.1-p1      -            301 8914at5820           -            281  5.8e-183  604.8   7.0   1   1  1.1e-185  6.6e-183  604.6   7.0     1   281     8   298     8   298 0.98 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 8914at5820           -            281  9.8e-183  604.1   7.0   1   1  1.8e-185  1.1e-182  603.9   7.0     1   281     8   298     8   298 0.98 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 8914at5820           -            281   9.3e-19   66.0  10.8   1   3   2.4e-06    0.0015   16.2   0.7    10    97    98   175    90   181 0.81 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 8914at5820           -            281   9.3e-19   66.0  10.8   2   3   3.4e-14   2.1e-11   41.9   1.4   103   193   215   302   188   312 0.90 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 8914at5820           -            281   9.3e-19   66.0  10.8   3   3   4.3e-05     0.026   12.1   0.0   195   272   411   496   401   505 0.69 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 8914at5820           -            281   5.9e-18   63.4   5.2   1   3    0.0018       1.1    6.7   0.0     7    39    20    52    15    77 0.84 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 8914at5820           -            281   5.9e-18   63.4   5.2   2   3   6.8e-06    0.0042   14.7   0.0    43    99   205   261   184   276 0.85 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 8914at5820           -            281   5.9e-18   63.4   5.2   3   3   4.1e-13   2.5e-10   38.4   2.9    99   278   289   485   272   488 0.69 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8914at5820           -            281   2.8e-17   61.2   2.0   1   2   1.1e-07   6.9e-05   20.5   0.1   110   186    37   112    18   122 0.88 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8914at5820           -            281   2.8e-17   61.2   2.0   2   2   8.1e-14     5e-11   40.7   0.3   105   273   127   302   113   311 0.79 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 8914at5820           -            281   2.9e-12   44.7   3.1   1   2   8.8e-14   5.4e-11   40.6   0.7     2   176    18   193    17   211 0.80 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 8914at5820           -            281   2.9e-12   44.7   3.1   2   2    0.0089       5.5    4.5   0.1    93   168   233   316   226   334 0.66 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 8914at5820           -            281   1.1e-07   29.7   3.1   1   1   1.9e-09   1.1e-06   26.4   3.1    56   252    85   294    25   316 0.72 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 8914at5820           -            281   5.7e-06   24.1   4.4   1   2   9.3e-05     0.057   11.0   0.3   158   227    41   113     1   118 0.64 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 8914at5820           -            281   5.7e-06   24.1   4.4   2   2   5.2e-05     0.032   11.8   0.5    48   141   119   213   111   251 0.67 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 8914at5820           -            281   4.1e-05   21.3   3.3   1   2   8.7e-06    0.0053   14.3   0.2   102   226    27   154    15   162 0.52 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 8914at5820           -            281   4.1e-05   21.3   3.3   2   2   0.00048       0.3    8.6   0.7    60   191   185   310   126   315 0.67 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8914at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8914at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8914at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:09 2026
# [ok]
