#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   1   7   9.3e-06     0.026   10.5   2.9     1    55     1    56     1    76 0.67 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   2   7   5.8e-08   0.00016   17.8   0.4    22    63   196   237   188   261 0.76 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   3   7   3.6e-55     1e-51  174.1   3.1    47   149   290   392   268   429 0.85 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   4   7   1.8e-06     0.005   12.8   0.4   146   186   520   561   508   578 0.83 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   5   7  5.5e-163  1.5e-159  531.0   9.7   176   424   966  1216   933  1258 0.89 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   6   7  3.9e-199  1.1e-195  650.7  12.9   411   721  1416  1735  1394  1740 0.92 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115075.1-p1      -           2131 2102at5820           -           1057         0 2037.5  92.2   7   7  5.7e-206  1.6e-202  673.4  19.3   717  1057  1776  2128  1768  2128 0.96 | transcript=PVX_115075.1 | gene=PVX_115075 | organism=Plasmodium_vivax_Sal-1 | gene_product=calpain, putative | transcript_product=calpain, putative | location=Pv_Sal1_chr11:338725-345120(-) | protein_length=2131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 2102at5820           -           1057      0.16    7.9  10.0   1   2   9.7e-07    0.0027   13.7   2.4   147   231    65   149    36   174 0.88 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 2102at5820           -           1057      0.16    7.9  10.0   2   2     0.072     2e+02   -2.4   0.9    34    62   203   232   197   252 0.73 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2102at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2102at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
