#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099570.1-p1      -            746 3523at5820           -            606         0 1136.2  28.1   1   3  3.5e-105  4.9e-102  340.6   7.0     6   193    54   250    49   254 0.95 | transcript=PVX_099570.1 | gene=PVX_099570 | organism=Plasmodium_vivax_Sal-1 | gene_product=NADPH-cytochrome p450 reductase, putative | transcript_product=NADPH-cytochrome p450 reductase, putative | location=Pv_Sal1_chr07:882911-885151(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099570.1-p1      -            746 3523at5820           -            606         0 1136.2  28.1   2   3   3.6e-43     5e-40  135.8   0.1   188   283   286   382   281   391 0.94 | transcript=PVX_099570.1 | gene=PVX_099570 | organism=Plasmodium_vivax_Sal-1 | gene_product=NADPH-cytochrome p450 reductase, putative | transcript_product=NADPH-cytochrome p450 reductase, putative | location=Pv_Sal1_chr07:882911-885151(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099570.1-p1      -            746 3523at5820           -            606         0 1136.2  28.1   3   3  1.7e-204  2.4e-201  668.6   8.5   277   606   405   746   402   746 0.98 | transcript=PVX_099570.1 | gene=PVX_099570 | organism=Plasmodium_vivax_Sal-1 | gene_product=NADPH-cytochrome p450 reductase, putative | transcript_product=NADPH-cytochrome p450 reductase, putative | location=Pv_Sal1_chr07:882911-885151(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117970.1-p1      -            802 3523at5820           -            606   6.4e-12   43.0   9.5   1   3     5e-14   6.9e-11   39.6   1.2    13   160     9   153     2   180 0.85 | transcript=PVX_117970.1 | gene=PVX_117970 | organism=Plasmodium_vivax_Sal-1 | gene_product=flavodoxin domain containing protein | transcript_product=flavodoxin domain containing protein | location=Pv_Sal1_chr12:2300976-2303384(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117970.1-p1      -            802 3523at5820           -            606   6.4e-12   43.0   9.5   2   3     0.017        23    1.5   0.1   498   540   628   667   624   678 0.83 | transcript=PVX_117970.1 | gene=PVX_117970 | organism=Plasmodium_vivax_Sal-1 | gene_product=flavodoxin domain containing protein | transcript_product=flavodoxin domain containing protein | location=Pv_Sal1_chr12:2300976-2303384(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117970.1-p1      -            802 3523at5820           -            606   6.4e-12   43.0   9.5   3   3    0.0011       1.5    5.4   0.1   536   588   720   775   704   790 0.76 | transcript=PVX_117970.1 | gene=PVX_117970 | organism=Plasmodium_vivax_Sal-1 | gene_product=flavodoxin domain containing protein | transcript_product=flavodoxin domain containing protein | location=Pv_Sal1_chr12:2300976-2303384(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114275.1-p1      -            367 3523at5820           -            606   1.4e-11   41.8   0.2   1   1   1.7e-14   2.4e-11   41.1   0.2   436   577   188   343   179   364 0.74 | transcript=PVX_114275.1 | gene=PVX_114275 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferredoxin--NADP reductase, putative | transcript_product=ferredoxin--NADP reductase, putative | location=Pv_Sal1_chr11:1105124-1106227(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080000.1-p1      -            824 3523at5820           -            606   4.6e-10   36.8   1.8   1   3      0.48   6.7e+02   -3.3   0.1    10    45    30    69    26    75 0.62 | transcript=PVX_080000.1 | gene=PVX_080000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:287084-289558(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080000.1-p1      -            824 3523at5820           -            606   4.6e-10   36.8   1.8   2   3      0.57   7.8e+02   -3.6   0.0   155   179   100   124    97   133 0.79 | transcript=PVX_080000.1 | gene=PVX_080000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:287084-289558(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080000.1-p1      -            824 3523at5820           -            606   4.6e-10   36.8   1.8   3   3   3.3e-13   4.6e-10   36.8   1.8    44   160   174   296   144   317 0.88 | transcript=PVX_080000.1 | gene=PVX_080000 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:287084-289558(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3523at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3523at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3523at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:15 2026
# [ok]
