#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092700.1-p1      -            516 7227at5820           -            380  8.4e-204  675.0  27.5   1   2   7.7e-47   6.1e-44  148.8  10.4    19   117    76   175    59   180 0.87 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 7227at5820           -            380  8.4e-204  675.0  27.5   2   2  2.6e-163  2.1e-160  532.1   9.1   117   380   236   512   227   512 0.96 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 7227at5820           -            380   9.2e-66  220.6  48.9   1   3   9.7e-14   7.6e-11   39.8  19.4    32   113   120   201    95   209 0.88 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 7227at5820           -            380   9.2e-66  220.6  48.9   2   3   1.2e-46   9.4e-44  148.2  16.3   138   271   365   498   347   502 0.97 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 7227at5820           -            380   9.2e-66  220.6  48.9   3   3   4.3e-14   3.4e-11   41.0   0.1   310   364   720   774   676   783 0.84 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087960.1-p1      -            252 7227at5820           -            380   4.5e-26   90.0  17.3   1   2     0.062        49    1.0   1.5    73   115    33    74    16    86 0.70 | transcript=PVX_087960.1 | gene=PVX_087960 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=Pv_Sal1_chr01:317699-318618(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087960.1-p1      -            252 7227at5820           -            380   4.5e-26   90.0  17.3   2   2   5.7e-29   4.5e-26   90.0  17.3   137   238   142   243   128   247 0.96 | transcript=PVX_087960.1 | gene=PVX_087960 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=Pv_Sal1_chr01:317699-318618(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 7227at5820           -            380   1.9e-09   35.3  30.1   1   2   9.6e-06    0.0076   13.5   3.6    14    68    21    75     5    79 0.76 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 7227at5820           -            380   1.9e-09   35.3  30.1   2   2   5.4e-10   4.3e-07   27.5  19.5    35   116    78   159    74   169 0.89 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 7227at5820           -            380   9.8e-09   32.9  31.0   1   2   1.7e-05     0.013   12.7   3.6    15    68    22    75     5    79 0.76 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 7227at5820           -            380   9.8e-09   32.9  31.0   2   2   1.2e-09   9.3e-07   26.4  19.7    35   116    78   159    75   182 0.90 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
