#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114920.1-p1      -            367 7557at5820           -            335  5.8e-221  730.6   7.0   1   1  1.2e-223  6.6e-221  730.4   7.0     1   335     1   351     1   351 0.97 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 7557at5820           -            335  2.7e-121  402.9   2.0   1   1  5.9e-124  3.2e-121  402.7   2.0     1   333     1   348     1   350 0.94 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 7557at5820           -            335  3.5e-121  402.6   2.0   1   1  7.5e-124  4.2e-121  402.3   2.0     1   333     2   349     2   351 0.94 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 7557at5820           -            335  4.2e-121  402.3   2.0   1   1  9.1e-124    5e-121  402.1   2.0     1   333     1   348     1   350 0.94 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 7557at5820           -            335   2.3e-08   31.7   0.5   1   2      0.27   1.5e+02   -0.5   0.2   226   268   399   440   394   454 0.72 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 7557at5820           -            335   2.3e-08   31.7   0.5   2   2   2.6e-10   1.4e-07   29.1   0.0    63   162   454   563   440   567 0.73 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 7557at5820           -            335   2.3e-06   25.1   2.5   1   2   3.5e-08   1.9e-05   22.1   0.0    65   101   226   262   191   275 0.85 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 7557at5820           -            335   2.3e-06   25.1   2.5   2   2      0.12        69    0.6   1.1   242   312   366   437   337   448 0.66 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 7557at5820           -            335   4.2e-06   24.3   0.3   1   2       2.1   1.1e+03   -3.4   0.0    10    30    21    41    16    52 0.76 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 7557at5820           -            335   4.2e-06   24.3   0.3   2   2   1.7e-08   9.6e-06   23.1   0.1    63   147   172   261   167   350 0.83 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 7557at5820           -            335   0.00074   16.9   0.5   1   2      0.66   3.7e+02   -1.8   0.0   163   163   251   251   216   287 0.54 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
