#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119710.1-p1      -            733 6388at5820           -            540  5.5e-277  917.9  23.4   1   5   1.5e-21   8.6e-19   65.8   0.0     5    53    10    58     6    62 0.94 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 6388at5820           -            540  5.5e-277  917.9  23.4   2   5   5.4e-07    0.0003   17.8   0.0    58    84    89   115    82   122 0.87 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 6388at5820           -            540  5.5e-277  917.9  23.4   3   5   1.2e-11   6.8e-09   33.1   0.0    84   112   174   202   170   229 0.89 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 6388at5820           -            540  5.5e-277  917.9  23.4   4   5   7.5e-40   4.1e-37  126.2   0.2   110   204   239   337   238   345 0.93 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 6388at5820           -            540  5.5e-277  917.9  23.4   5   5  5.2e-205  2.9e-202  671.3  19.8   204   540   396   733   385   733 0.99 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 6388at5820           -            540   5.5e-05   20.2   2.1   1   2      0.55     3e+02   -2.0   0.3   175   193   239   257   213   262 0.77 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 6388at5820           -            540   5.5e-05   20.2   2.1   2   2   9.9e-08   5.5e-05   20.2   2.1   487   536   565   613   524   614 0.73 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 6388at5820           -            540   9.4e-05   19.4   3.7   1   3        10   5.5e+03   -7.2   8.3   239   305    67   129    55   154 0.63 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 6388at5820           -            540   9.4e-05   19.4   3.7   2   3        10   5.5e+03  -10.9  11.6   342   363   137   158   100   184 0.51 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 6388at5820           -            540   9.4e-05   19.4   3.7   3   3   1.7e-07   9.4e-05   19.4   3.7   482   536   337   392   328   395 0.82 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 6388at5820           -            540   0.00014   18.8   0.9   1   2        10   5.5e+03   -7.4  10.6   358   464    65   172    17   202 0.62 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 6388at5820           -            540   0.00014   18.8   0.9   2   2   2.6e-07   0.00014   18.8   0.9   489   534   234   278   223   283 0.85 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 6388at5820           -            540   0.00026   18.0   6.5   1   2       3.3   1.8e+03   -4.6   0.8   224   273   260   310   222   313 0.60 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 6388at5820           -            540   0.00026   18.0   6.5   2   2   4.6e-07   0.00026   18.0   6.5   480   539  1145  1203  1136  1203 0.89 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 6388at5820           -            540   0.00046   17.2   1.8   1   2      0.69   3.8e+02   -2.4   0.2   193   227    15    49     4    56 0.75 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 6388at5820           -            540   0.00046   17.2   1.8   2   2   8.4e-07   0.00046   17.2   1.8   487   537   365   418   352   420 0.89 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 6388at5820           -            540     0.018   11.9   5.0   1   1   3.4e-05     0.019   11.9   5.0   508   534    52    79    16    82 0.84 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 6388at5820           -            540     0.038   10.8   2.9   1   1   0.00011     0.061   10.2   2.9   488   535   361   404   347   408 0.85 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 6388at5820           -            540     0.052   10.4  19.3   1   1   0.00014     0.075    9.9  19.3   353   536    88   263    46   266 0.74 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 6388at5820           -            540       4.9    3.9  32.1   1   3     1e-05    0.0057   13.6  11.2   488   535     4    49     2    54 0.84 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 6388at5820           -            540       4.9    3.9  32.1   2   3      0.16        91   -0.3   4.1   136   205   105   173    91   184 0.64 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 6388at5820           -            540       4.9    3.9  32.1   3   3     0.037        21    1.8   1.3   117   191   189   258   181   279 0.74 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6388at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6388at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:16 2026
# [ok]
