#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002690.1-p1      -            952 6510at5820           -            617  5.5e-261  866.1  94.5   1   5   7.2e-81   1.3e-77  260.4  30.4     2   215     6   247     5   254 0.88 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 6510at5820           -            617  5.5e-261  866.1  94.5   2   5     6e-33   1.1e-29  102.1   1.1   214   279   368   439   365   444 0.93 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 6510at5820           -            617  5.5e-261  866.1  94.5   3   5  2.5e-100   4.5e-97  324.7  26.6   282   485   547   755   528   760 0.93 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 6510at5820           -            617  5.5e-261  866.1  94.5   4   5   1.6e-56   2.9e-53  180.0   5.0   477   599   775   902   767   906 0.93 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002690.1-p1      -            952 6510at5820           -            617  5.5e-261  866.1  94.5   5   5   1.3e-07   0.00024   18.4   1.2   595   617   930   952   924   952 0.93 | transcript=PVX_002690.1 | gene=PVX_002690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:189522-192863(+) | protein_length=952 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 6510at5820           -            617   1.7e-14   52.0  91.9   1   4   0.00055         1    6.5  21.9    18   149    30   170    12   179 0.64 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 6510at5820           -            617   1.7e-14   52.0  91.9   2   4   2.3e-08   4.3e-05   20.9   9.6   183   273   173   274   163   289 0.71 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 6510at5820           -            617   1.7e-14   52.0  91.9   3   4     3e-09   5.6e-06   23.8  31.5   278   481   418   630   408   639 0.75 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002700.1-p1      -            862 6510at5820           -            617   1.7e-14   52.0  91.9   4   4   1.9e-07   0.00034   17.9   7.5   490   596   702   823   686   830 0.74 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 6510at5820           -            617   4.8e-06   24.0  28.7   1   5      0.36   6.6e+02   -2.8   4.2    23    63    11    48     5    89 0.65 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 6510at5820           -            617   4.8e-06   24.0  28.7   2   5         3   5.5e+03  -11.1  14.8    88   168   134   216   124   240 0.48 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
