#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   1   6    0.0012       2.2    5.6   0.0     1    19     1    19     1    23 0.91 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   2   6   2.3e-30   4.3e-27   93.6   0.4    17    82    42   110    35   138 0.92 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   3   6   4.4e-14   8.1e-11   40.0  39.8    81   167   189   287   183   293 0.80 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   4   6         3   5.5e+03  -13.9  35.6   125   168   297   340   267   347 0.53 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   5   6   2.3e-27   4.3e-24   83.7   0.2   165   226   365   428   359   439 0.89 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111365.1-p1      -            705 9118at5820           -            445  1.4e-162  540.1  95.1   6   6  6.1e-101   1.1e-97  326.2  14.5   220   443   451   701   446   703 0.89 | transcript=PVX_111365.1 | gene=PVX_111365 | organism=Plasmodium_vivax_Sal-1 | gene_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | transcript_product=U3 small nucleolar ribonucleoprotein protein MPP10, putative | location=Pv_Sal1_chr06:529916-532033(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094610.1-p1      -            224 9118at5820           -            445     0.056   10.8  13.2   1   2   1.7e-05     0.032   11.6  11.2   121   177    16    77     7    99 0.58 | transcript=PVX_094610.1 | gene=PVX_094610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:391129-392592(+) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094610.1-p1      -            224 9118at5820           -            445     0.056   10.8  13.2   2   2      0.22     4e+02   -1.9   0.0   320   349   184   213   136   221 0.63 | transcript=PVX_094610.1 | gene=PVX_094610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:391129-392592(+) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 9118at5820           -            445       1.7    5.9   7.8   1   1    0.0011         2    5.7   7.8   128   171    13    56    12    58 0.84 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9118at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9118at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9118at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:52 2026
# [ok]
