#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094465.1-p1      -           1539 1130at5820           -           1077         0 2106.9  32.0   1   2   4.5e-11   3.6e-08   30.0   0.9     1    84     1    91     1   126 0.47 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094465.1-p1      -           1539 1130at5820           -           1077         0 2106.9  32.0   2   2         0         0 2078.2  24.2    20  1067   160  1498   146  1508 0.90 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1130at5820           -           1077     4e-74  248.4   0.3   1   5         7   5.5e+03   -8.8  12.4   963  1033    63   132    38   152 0.58 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1130at5820           -           1077     4e-74  248.4   0.3   2   5         7   5.5e+03  -10.0  12.3    33   102   346   420   322   448 0.41 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1130at5820           -           1077     4e-74  248.4   0.3   3   5         1     8e+02   -4.2   8.6    19   106   728   818   699   857 0.40 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1130at5820           -           1077     4e-74  248.4   0.3   4   5      0.21   1.6e+02   -1.9   0.4   985  1029  1330  1374  1297  1402 0.75 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1130at5820           -           1077     4e-74  248.4   0.3   5   5   5.1e-77     4e-74  248.4   0.3   484   902  1811  2217  1786  2222 0.86 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1130at5820           -           1077   1.4e-50  170.4  23.7   1   3      0.29   2.3e+02   -2.4   2.0   200   264   108   178    56   203 0.61 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1130at5820           -           1077   1.4e-50  170.4  23.7   2   3     2e-31   1.6e-28   97.4   6.4   494   747   399   682   382   699 0.72 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1130at5820           -           1077   1.4e-50  170.4  23.7   3   3     3e-27   2.4e-24   83.6   0.9   789   909   934  1060   926  1078 0.87 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1130at5820           -           1077   1.3e-41  140.8  22.1   1   5       3.3   2.6e+03   -5.9   5.8    31   107  1406  1486  1396  1513 0.56 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
