#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   1  11         2   5.5e+03   -9.4   8.4    13    38    18    43     7    51 0.41 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   2  11   1.2e-08   3.4e-05   20.7   6.9     1    27    52    78    52    97 0.85 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   3  11         2   5.5e+03  -15.2  21.1    22    43   121   142   114   143 0.71 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   4  11   1.6e-09   4.4e-06   23.6  37.1    24    72   141   194   137   207 0.80 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   5  11   3.5e-07   0.00097   15.9   1.8    70    99   221   250   211   260 0.83 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   6  11   1.8e-72   4.9e-69  231.7  15.0   101   228   331   458   319   464 0.97 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   7  11   7.2e-90     2e-86  289.2  12.7   225   374   507   656   502   661 0.98 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   8  11   1.4e-11     4e-08   30.4   0.1   372   404   722   754   709   762 0.90 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9   9  11   1.7e-09   4.7e-06   23.5   0.2   402   431   819   848   813   854 0.87 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9  10  11   1.1e-42     3e-39  133.2   0.9   425   526   909  1024   903  1044 0.87 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095100.1-p1      -           1408 2733at5820           -            722         0 1060.9 184.9  11  11  2.8e-112  7.7e-109  363.3  20.0   540   721  1182  1363  1171  1364 0.98 | transcript=PVX_095100.1 | gene=PVX_095100 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:796575-800801(-) | protein_length=1408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 2733at5820           -            722   2.2e-18   64.3  47.7   1   3   1.3e-12   3.7e-09   33.8   7.5    89   207    45   164    14   171 0.84 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 2733at5820           -            722   2.2e-18   64.3  47.7   2   3   1.5e-15   4.1e-12   43.5  14.7   233   369   169   304   161   312 0.82 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089310.1-p1      -            519 2733at5820           -            722   2.2e-18   64.3  47.7   3   3     0.048   1.3e+02   -1.1  10.5   539   674   326   468   313   506 0.62 | transcript=PVX_089310.1 | gene=PVX_089310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:452949-455184(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2733at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:38 2026
# [ok]
