#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   1  15    6e-175  8.3e-172  571.7  78.4     1   385     1   437     1   470 0.88 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   2  15   6.5e-41   8.9e-38  127.0   8.4   387   513   550   682   543   690 0.86 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   3  15   2.1e-14     3e-11   39.0   0.3   474   563   706   803   700   817 0.80 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   4  15   1.1e-76   1.5e-73  245.7  11.0   564   758  1000  1229   957  1241 0.78 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   5  15   3.9e-14   5.4e-11   38.1   2.7   737   800  1233  1300  1224  1306 0.82 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   6  15  1.3e-139  1.8e-136  454.5  53.8   792  1058  1333  1618  1302  1625 0.90 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   7  15    9e-158  1.2e-154  514.7  61.4  1057  1401  1659  2051  1641  2064 0.89 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   8  15   9.7e-33   1.3e-29   99.8   5.1  1429  1527  2132  2232  2124  2256 0.79 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3   9  15   1.9e-81   2.6e-78  261.4  32.2  1516  1690  2279  2483  2264  2496 0.88 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3  10  15   9.9e-31   1.4e-27   93.2  12.1  1693  1766  2543  2616  2536  2619 0.84 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100005.1-p1      -           4239 102at5820            -           3017         0 4740.6 619.3  11  15   4.7e-21   6.5e-18   61.1   3.9  1738  1801  2614  2684  2610  2697 0.80 | transcript=PVX_100005.1 | gene=PVX_100005 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1182213-1195735(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
