#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   1   5  4.9e-133  2.7e-130  432.9  21.2     1   220     3   252     3   267 0.91 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   2   5   2.1e-20   1.2e-17   62.3   5.6   199   284   342   427   311   439 0.76 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   3   5     0.011       6.3    4.0   9.1   266   303   472   514   448   538 0.69 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   4   5       1.1   6.3e+02   -2.6   0.7   306   306   599   599   531   649 0.47 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 7115at5820           -            359  2.1e-173  574.7  74.8   5   5   8.1e-32   4.5e-29   99.9   7.6   265   359   743   836   673   836 0.83 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   1   6   2.2e-39   1.2e-36  124.8  11.3    20   264    12   265     1   294 0.66 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   2   6        10   5.5e+03  -10.3  11.6   208   287   310   395   271   411 0.42 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   3   6       1.6     9e+02   -3.1   3.5   260   300   490   530   441   571 0.64 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   4   6       5.8   3.2e+03   -4.9   9.1   244   295   624   677   619   708 0.49 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   5   6      0.75   4.1e+02   -2.0   7.6   195   275   738   823   710   835 0.62 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 7115at5820           -            359   1.2e-36  124.8  11.3   6   6       2.9   1.6e+03   -3.9   0.8   203   242   925   960   918   970 0.58 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7115at5820           -            359   4.3e-24   83.5   8.8   1   4   7.9e-27   4.3e-24   83.5   8.8    35   139     8   114     3   127 0.95 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7115at5820           -            359   4.3e-24   83.5   8.8   2   4        10   5.5e+03   -7.0  10.4   204   287   274   355   235   380 0.54 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7115at5820           -            359   4.3e-24   83.5   8.8   3   4         1   5.6e+02   -2.4   3.8   232   282   508   555   476   618 0.65 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 7115at5820           -            359   4.3e-24   83.5   8.8   4   4       5.8   3.2e+03   -4.9   2.7   192   192   831   831   756   944 0.47 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7115at5820           -            359     2e-23   81.3  11.1   1   4       9.8   5.4e+03   -5.6   2.4   258   312   284   337   222   344 0.49 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 7115at5820           -            359     2e-23   81.3  11.1   2   4   3.7e-26     2e-23   81.3  11.1    38   148   500   610   494   649 0.88 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
