#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111310.1-p1      -            272 10294at5820          -            246  6.9e-140  463.0  26.0   1   1  1.6e-142  7.9e-140  462.8  26.0     1   246    10   270    10   270 0.96 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 10294at5820          -            246   1.3e-07   29.8   4.7   1   1   4.7e-10   2.4e-07   28.9   4.7   193   239  1154  1200  1138  1202 0.91 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 10294at5820          -            246   1.7e-06   26.1   2.5   1   3     0.018       9.2    4.1  10.1    45   172    13   155     7   157 0.59 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 10294at5820          -            246   1.7e-06   26.1   2.5   2   3       1.4   7.1e+02   -2.1  23.8    17   145    74   205    58   219 0.64 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 10294at5820          -            246   1.7e-06   26.1   2.5   3   3   3.5e-09   1.7e-06   26.1   2.5   188   239   229   280   208   283 0.89 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113525.1-p1      -            403 10294at5820          -            246   5.4e-05   21.2   3.6   1   1   1.1e-07   5.4e-05   21.2   3.6   192   241   343   394   338   397 0.79 | transcript=PVX_113525.1 | gene=PVX_113525 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr11:1732252-1733649(+) | protein_length=403 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 10294at5820          -            246    0.0005   18.0  11.1   1   2       3.6   1.8e+03   -3.5   9.5    81   142    15    76     2    93 0.58 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 10294at5820          -            246    0.0005   18.0  11.1   2   2   9.9e-07    0.0005   18.0  11.1   191   242   294   343   214   345 0.65 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 10294at5820          -            246   0.00064   17.7   1.6   1   1     2e-06     0.001   17.0   1.6   193   237   367   415   350   421 0.78 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 10294at5820          -            246   0.00066   17.6   5.7   1   2       4.6   2.3e+03   -3.8   1.0    72   120   327   375   303   422 0.53 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 10294at5820          -            246   0.00066   17.6   5.7   2   2   1.3e-06   0.00066   17.6   5.7   193   237   567   611   555   615 0.89 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10294at5820          -            246    0.0056   14.6   1.5   1   2      0.29   1.4e+02    0.1   1.1   190   209    72    91    67    99 0.80 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 10294at5820          -            246    0.0056   14.6   1.5   2   2   1.1e-05    0.0056   14.6   1.5   203   238   109   144   101   150 0.87 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 10294at5820          -            246    0.0088   14.0   7.8   1   1   3.1e-05     0.016   13.1   7.8   192   237    23    79     4    84 0.72 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089745.1-p1      -            730 10294at5820          -            246     0.021   12.7   2.2   1   1   8.1e-05     0.041   11.8   2.2   190   239    75   121    27   126 0.72 | transcript=PVX_089745.1 | gene=PVX_089745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:797468-799660(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 10294at5820          -            246     0.029   12.2   5.5   1   1    0.0001     0.051   11.4   5.5   194   243   363   409   359   412 0.89 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
