#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   1  15   1.7e-66   9.4e-63  210.5   0.1     3   126     9   146     7   151 0.93 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   2  15   1.5e-29   8.3e-26   88.0   0.0   127   185   200   258   197   263 0.96 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   3  15     0.083   4.6e+02   -3.9   0.0   185   203   318   336   317   338 0.87 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   4  15   1.1e-11   6.2e-08   28.8   1.3   200   236   422   458   415   463 0.89 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   5  15   5.6e-38   3.1e-34  116.0   0.0   232   307   535   612   525   632 0.88 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   6  15   1.9e-12     1e-08   31.4   0.0   319   354   704   739   689   759 0.89 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   7  15   3.1e-78   1.7e-74  249.4   1.6   360   546   931  1158   919  1162 0.84 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   8  15   6.3e-54   3.5e-50  168.8   6.6   546   647  1207  1308  1202  1313 0.97 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7   9  15    0.0017       9.2    1.7   0.0   648   671  1356  1382  1353  1391 0.80 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  10  15   2.5e-48   1.4e-44  150.3   2.0   674   798  1442  1573  1429  1577 0.93 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  11  15   4.6e-81   2.5e-77  258.8   0.1   805   982  1653  1849  1646  1854 0.90 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  12  15     2e-23   1.1e-19   67.7   0.0   986  1042  1939  1995  1929  2002 0.92 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  13  15   1.6e-91   8.7e-88  293.5   0.3  1048  1241  2066  2266  2048  2281 0.91 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  14  15   3.7e-64     2e-60  202.8   0.3  1247  1373  2344  2472  2341  2477 0.96 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096325.1-p1      -           2723 341at5820            -           1530         0 2083.0  71.7  15  15   2.3e-77   1.3e-73  246.5   4.6  1373  1530  2547  2723  2540  2723 0.89 | transcript=PVX_096325.1 | gene=PVX_096325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:596099-604270(+) | protein_length=2723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/341at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/341at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:45 2026
# [ok]
