#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   1   9   6.5e-46     6e-43  145.4   5.9     1   103     3   105     3   122 0.89 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   2   9   1.6e-34   1.5e-31  107.8   6.0    90   158   154   222   115   227 0.86 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   3   9       0.3   2.8e+02   -2.2   3.3   158   185   370   396   288   417 0.68 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   4   9       0.4   3.7e+02   -2.6   9.9   157   181   455   479   446   499 0.72 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   5   9      0.11        98   -0.7  12.3   158   197   500   537   492   559 0.69 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   6   9    1e-123  9.6e-121  402.5  18.0   202   420   658   889   602   907 0.89 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   7   9     3e-18   2.7e-15   54.0   1.3   410   458   921   973   910   994 0.88 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   8   9   1.2e-09   1.1e-06   25.5   4.0   478   519  1155  1197  1128  1202 0.76 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099520.1-p1      -           1441 2771at5820           -            662  3.7e-293  972.2 119.9   9   9   5.4e-88   4.9e-85  284.5   0.2   517   662  1279  1433  1263  1433 0.95 | transcript=PVX_099520.1 | gene=PVX_099520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=Pv_Sal1_chr07:834529-840001(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 2771at5820           -            662     7e-55  184.8   1.9   1   5   6.6e-13   6.1e-10   36.3   0.0     6    78     2    74     1    77 0.96 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084620.1-p1      -            381 2771at5820           -            662     7e-55  184.8   1.9   2   5   5.3e-13   4.9e-10   36.6   0.0     4    78    76   150    73   154 0.95 | transcript=PVX_084620.1 | gene=PVX_084620 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyubiquitin 5, putative | transcript_product=polyubiquitin 5, putative | location=Pv_Sal1_chr13:488939-490576(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
