#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096175.1-p1      -            243 11629at5820          -            188    6e-105  347.1   7.7   1   2   1.5e-52   1.6e-49  166.3   0.2     1    89    11    99    11   102 0.99 | transcript=PVX_096175.1 | gene=PVX_096175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=Pv_Sal1_chr03:705829-706560(-) | protein_length=243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096175.1-p1      -            243 11629at5820          -            188    6e-105  347.1   7.7   2   2   6.5e-58   7.2e-55  183.8   2.6    87   188   140   241   139   241 0.98 | transcript=PVX_096175.1 | gene=PVX_096175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=Pv_Sal1_chr03:705829-706560(-) | protein_length=243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085435.1-p1      -            452 11629at5820          -            188   3.8e-07   28.2   5.4   1   2   4.7e-07   0.00052   17.9   2.3   100   142   344   387   332   392 0.54 | transcript=PVX_085435.1 | gene=PVX_085435 | organism=Plasmodium_vivax_Sal-1 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=Pv_Sal1_chr13:1169586-1171263(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085435.1-p1      -            452 11629at5820          -            188   3.8e-07   28.2   5.4   2   2     2e-05     0.022   12.6   0.1    96   148   387   439   385   449 0.84 | transcript=PVX_085435.1 | gene=PVX_085435 | organism=Plasmodium_vivax_Sal-1 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=Pv_Sal1_chr13:1169586-1171263(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122222.1-p1      -            950 11629at5820          -            188   2.8e-05   22.1   6.4   1   4   7.3e-05     0.081   10.8   0.6   104   148   222   266   202   297 0.53 | transcript=PVX_122222.1 | gene=PVX_122222 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:388047-390899(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122222.1-p1      -            950 11629at5820          -            188   2.8e-05   22.1   6.4   2   4      0.13   1.4e+02    0.2   0.0   117   149   307   339   301   348 0.83 | transcript=PVX_122222.1 | gene=PVX_122222 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:388047-390899(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122222.1-p1      -            950 11629at5820          -            188   2.8e-05   22.1   6.4   3   4    0.0012       1.3    6.8   0.1   108   152   346   390   337   406 0.53 | transcript=PVX_122222.1 | gene=PVX_122222 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:388047-390899(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122222.1-p1      -            950 11629at5820          -            188   2.8e-05   22.1   6.4   4   4      0.03        33    2.3   0.0   115   150   431   466   405   476 0.73 | transcript=PVX_122222.1 | gene=PVX_122222 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:388047-390899(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123385.1-p1      -           1065 11629at5820          -            188   0.00012   20.1  11.5   1   2   5.2e-06    0.0058   14.5   7.4    87   139   388   437   368   442 0.74 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123385.1-p1      -           1065 11629at5820          -            188   0.00012   20.1  11.5   2   2   0.00079      0.87    7.4   0.2   119   158   440   479   437   487 0.86 | transcript=PVX_123385.1 | gene=PVX_123385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1409160-1412630(-) | protein_length=1065 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116557.1-p1      -            479 11629at5820          -            188   0.00012   20.0   8.3   1   3      0.51   5.6e+02   -1.7   0.0   106   126   228   248   218   254 0.83 | transcript=PVX_116557.1 | gene=PVX_116557 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor EIF-2B gamma subunit, putative | transcript_product=translation initiation factor EIF-2B gamma subunit, putative | location=Pv_Sal1_chr12:1088385-1091203(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
