#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   1   7   4.9e-67   4.5e-64  215.0   7.5     4   115    20   131    17   155 0.90 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   2   7   1.3e-65   1.2e-62  210.3   3.8    99   236   158   304   147   311 0.91 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   3   7     1e-94   9.3e-92  306.7   8.0   232   394   348   519   322   536 0.91 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   4   7  2.3e-124  2.1e-121  404.9   2.6   389   594   592   805   582   810 0.95 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   5   7    3e-112  2.8e-109  364.7   9.3   592   781   886  1077   882  1083 0.97 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   6   7  5.4e-218  4.9e-215  715.0  25.7   775  1132  1104  1466  1092  1472 0.96 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1005at5820           -           1159         0 2226.1 100.3   7   7   5.5e-15   5.1e-12   42.6   0.2  1124  1159  1479  1514  1468  1514 0.95 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   1   7   4.1e-33   3.7e-30  102.7   3.1     6   221    53   252    48   266 0.88 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   2   7   7.7e-16   7.1e-13   45.5   4.4   241   376   342   481   324   487 0.77 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   3   7   1.1e-09     1e-06   25.1   0.1   413   470   489   548   487   549 0.84 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 1005at5820           -           1159  7.2e-115  383.2  57.3   4   7      0.03        27    0.5   0.0   526   553   783   810   765   823 0.80 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
