#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095300.1-p1      -            911 2526at5820           -            746         0 1428.8   0.2   1   2         0         0 1243.9   1.8     1   586     1   619     1   671 0.96 | transcript=PVX_095300.1 | gene=PVX_095300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-metabolising metallo-beta-lactamase domain containing protein | transcript_product=RNA-metabolising metallo-beta-lactamase domain containing protein | location=Pv_Sal1_chr08:971384-974119(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095300.1-p1      -            911 2526at5820           -            746         0 1428.8   0.2   2   2   5.9e-57   8.1e-54  181.3   0.0   626   744   773   891   753   893 0.95 | transcript=PVX_095300.1 | gene=PVX_095300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-metabolising metallo-beta-lactamase domain containing protein | transcript_product=RNA-metabolising metallo-beta-lactamase domain containing protein | location=Pv_Sal1_chr08:971384-974119(+) | protein_length=911 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2526at5820           -            746   1.5e-76  256.5  11.4   1   3   5.8e-10     8e-07   26.0   0.3     8    43     3    38     1    50 0.89 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2526at5820           -            746   1.5e-76  256.5  11.4   2   3   2.9e-11   4.1e-08   30.2   0.1   101   151    56   106    47   117 0.90 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_209290-t26_1-p1  -            858 2526at5820           -            746   1.5e-76  256.5  11.4   3   3   2.4e-64   3.3e-61  205.8   1.6   190   516   177   513   165   527 0.87 | transcript=PVX_209290-t26_1 | gene=PVX_209290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000246:721-3423(-) | protein_length=858 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2526at5820           -            746   2.1e-76  256.0  11.4   1   3   6.4e-10   8.9e-07   25.8   0.3     8    43     3    38     1    50 0.89 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2526at5820           -            746   2.1e-76  256.0  11.4   2   3   3.3e-11   4.5e-08   30.1   0.1   101   151    56   106    47   117 0.90 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118570.1-p1      -            934 2526at5820           -            746   2.1e-76  256.0  11.4   3   3   2.9e-64     4e-61  205.5   1.6   190   516   177   513   165   527 0.87 | transcript=PVX_118570.1 | gene=PVX_118570 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage and polyadenylation specificity factor, putative | transcript_product=cleavage and polyadenylation specificity factor, putative | location=Pv_Sal1_chr12:2837588-2840392(+) | protein_length=934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_221290-t26_1-p1  -            289 2526at5820           -            746   6.2e-39  132.1   9.6   1   3   1.5e-10   2.1e-07   27.9   0.3     8    43     3    38     1    49 0.89 | transcript=PVX_221290-t26_1 | gene=PVX_221290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001449:97-965(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_221290-t26_1-p1  -            289 2526at5820           -            746   6.2e-39  132.1   9.6   2   3   6.2e-12   8.5e-09   32.5   0.1   101   152    56   107    47   120 0.90 | transcript=PVX_221290-t26_1 | gene=PVX_221290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001449:97-965(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_221290-t26_1-p1  -            289 2526at5820           -            746   6.2e-39  132.1   9.6   3   3   2.1e-25   2.9e-22   77.0   0.7   190   302   177   289   156   289 0.96 | transcript=PVX_221290-t26_1 | gene=PVX_221290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001449:97-965(+) | protein_length=289 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
