#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   1  11   5.8e-21   3.2e-17   59.8   7.9     1    65     2    66     2    76 0.93 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   2  11  7.9e-108  4.4e-104  347.6  23.2    65   350   151   483    91   495 0.84 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   3  11   2.3e-19   1.3e-15   54.5   0.2   350   399   515   564   507   573 0.91 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   4  11   3.3e-48   1.8e-44  150.1   2.7   391   538   683   853   678   859 0.83 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   5  11   5.3e-10   2.9e-06   23.5   0.0   533   593   871   936   864   950 0.78 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   6  11   2.6e-05      0.14    7.9   0.9   576   609   948   981   943   985 0.87 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   7  11   1.3e-34   6.9e-31  105.1   8.1   604   715  1003  1125   993  1131 0.88 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   8  11     2e-52   1.1e-48  164.0   0.0   720   845  1166  1303  1153  1308 0.93 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0   9  11   2.1e-20   1.2e-16   57.9   0.0   848   903  1390  1446  1386  1456 0.93 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0  10  11  4.8e-110  2.6e-106  354.9   1.5   903  1158  1562  1845  1559  1847 0.91 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090130.1-p1      -           1989 1258at5820           -           1250         0 1419.0 100.0  11  11   2.6e-40   1.4e-36  123.9   4.0  1159  1250  1884  1989  1881  1989 0.89 | transcript=PVX_090130.1 | gene=PVX_090130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1158440-1165281(-) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1258at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1258at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1258at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:21 2026
# [ok]
