#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101185.1-p1      -            309 10037at5820          -            262  4.3e-130  431.1  30.2   1   2   4.6e-14   3.2e-11   41.5   0.1     1    34     1    34     1    37 0.95 | transcript=PVX_101185.1 | gene=PVX_101185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2702793-2703722(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101185.1-p1      -            309 10037at5820          -            262  4.3e-130  431.1  30.2   2   2  9.3e-121  6.4e-118  391.2  26.5    32   255    53   288    42   305 0.94 | transcript=PVX_101185.1 | gene=PVX_101185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2702793-2703722(+) | protein_length=309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 10037at5820          -            262   4.3e-09   34.5   4.0   1   1   7.1e-12   4.9e-09   34.3   4.0    30   135    59   162    18   172 0.76 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 10037at5820          -            262   1.2e-05   23.2   6.2   1   2   1.7e-08   1.2e-05   23.2   6.2    20    99    39   115    25   179 0.77 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 10037at5820          -            262   1.2e-05   23.2   6.2   2   2      0.48   3.3e+02   -1.2   0.0   210   240   217   247   203   262 0.52 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10037at5820          -            262   1.8e-05   22.6  10.3   1   5         8   5.5e+03  -10.9  13.8    61   172   133   246   123   261 0.56 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10037at5820          -            262   1.8e-05   22.6  10.3   2   5       0.2   1.4e+02    0.1   0.5    87   128  1135  1180  1122  1214 0.74 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10037at5820          -            262   1.8e-05   22.6  10.3   3   5    0.0035       2.4    5.8   5.8    50   181  1456  1593  1446  1610 0.78 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10037at5820          -            262   1.8e-05   22.6  10.3   4   5   2.7e-08   1.8e-05   22.6  10.3    34   127  1611  1705  1595  1711 0.79 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10037at5820          -            262   1.8e-05   22.6  10.3   5   5   3.4e-06    0.0024   15.7   1.9    78   166  1689  1783  1687  1797 0.68 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 10037at5820          -            262   6.3e-05   20.8   0.1   1   1   1.6e-07   0.00011   20.0   0.1    48   141   420   515   386   604 0.77 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10037at5820          -            262   0.00017   19.4  20.7   1   2   0.00018      0.12   10.0   4.0    53   140     8   100     3   105 0.71 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10037at5820          -            262   0.00017   19.4  20.7   2   2   1.3e-05    0.0092   13.7  10.7    45   171   103   231    98   298 0.84 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10037at5820          -            262    0.0026   15.5   5.3   1   4      0.03        20    2.8   0.8    83   134    11    65     3    70 0.62 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10037at5820          -            262    0.0026   15.5   5.3   2   4   8.3e-05     0.057   11.1   0.0    60   134    72   148    68   158 0.87 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10037at5820          -            262    0.0026   15.5   5.3   3   4     0.056        39    1.9   0.0    40   103   153   183   139   214 0.58 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10037at5820          -            262    0.0026   15.5   5.3   4   4      0.88   6.1e+02   -2.1   0.2    57    73   383   399   331   426 0.56 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
