#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   1   6     1e-38   2.8e-35  119.9   0.1     1    89    90   182    90   198 0.89 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   2   6   1.7e-37   4.8e-34  115.8   0.3    96   162   223   292   207   313 0.89 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   3   6   2.2e-58   6.2e-55  184.8   0.1   161   291   363   496   357   510 0.94 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   4   6   1.8e-69     5e-66  221.4   5.2   292   426   528   666   524   670 0.96 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   5   6   5.5e-41   1.5e-37  127.3   7.2   424   556   741   883   736   919 0.83 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099120.1-p1      -            977 3597at5820           -            590  7.4e-240  795.4  37.8   6   6   2.4e-15   6.5e-12   42.7   0.2   547   590   922   965   910   965 0.90 | transcript=PVX_099120.1 | gene=PVX_099120 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginine--tRNA ligase, putative | transcript_product=arginine--tRNA ligase, putative | location=Pv_Sal1_chr07:521832-524862(-) | protein_length=977 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123597.1-p1      -            591 3597at5820           -            590   3.4e-39  132.8  31.4   1   3   1.7e-26   4.8e-23   79.5  12.6    96   285   128   301    58   306 0.87 | transcript=PVX_123597.1 | gene=PVX_123597 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginyl-tRNA synthetase, putative | transcript_product=arginyl-tRNA synthetase, putative | location=Pv_Sal1_chr14:1560991-1564209(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123597.1-p1      -            591 3597at5820           -            590   3.4e-39  132.8  31.4   2   3   2.6e-18   7.3e-15   52.4   0.1   336   423   315   404   302   418 0.81 | transcript=PVX_123597.1 | gene=PVX_123597 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginyl-tRNA synthetase, putative | transcript_product=arginyl-tRNA synthetase, putative | location=Pv_Sal1_chr14:1560991-1564209(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123597.1-p1      -            591 3597at5820           -            590   3.4e-39  132.8  31.4   3   3    0.0013       3.6    3.9   5.5   411   523   422   548   414   574 0.69 | transcript=PVX_123597.1 | gene=PVX_123597 | organism=Plasmodium_vivax_Sal-1 | gene_product=arginyl-tRNA synthetase, putative | transcript_product=arginyl-tRNA synthetase, putative | location=Pv_Sal1_chr14:1560991-1564209(-) | protein_length=591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3597at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3597at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3597at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:35 2026
# [ok]
