#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085610.1-p1      -            677 4511at5820           -            508  9.4e-281  930.1  23.1   1   3   2.5e-48   2.8e-45  153.3   0.7    19   121    52   158    43   165 0.89 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 4511at5820           -            508  9.4e-281  930.1  23.1   2   3  1.2e-207  1.3e-204  678.9  14.3   122   456   229   573   223   583 0.96 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 4511at5820           -            508  9.4e-281  930.1  23.1   3   3     7e-33   7.7e-30  102.3   0.0   452   508   621   677   603   677 0.92 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083400.1-p1      -            585 4511at5820           -            508     5e-86  287.7   0.3   1   1   2.3e-88   2.6e-85  285.3   0.3    22   507    69   583    49   584 0.82 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 4511at5820           -            508   4.5e-11   40.4   0.1   1   3      0.66   7.3e+02   -3.1   0.0    66   119   200   258   197   269 0.68 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 4511at5820           -            508   4.5e-11   40.4   0.1   2   3   2.8e-07    0.0003   17.9   0.1   249   322   484   555   477   593 0.86 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 4511at5820           -            508   4.5e-11   40.4   0.1   3   3   8.9e-08   9.8e-05   19.5   0.0   450   503   696   751   684   754 0.79 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 4511at5820           -            508   5.8e-11   40.1   0.4   1   1     1e-13   1.1e-10   39.1   0.4   245   503   321   576   303   580 0.79 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4511at5820           -            508    0.0048   14.0   0.8   1   3     0.041        46    0.8   0.0   203   239   428   464   421   468 0.88 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4511at5820           -            508    0.0048   14.0   0.8   2   3     9e-05     0.099    9.6   1.0   250   316   564   631   556   642 0.79 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080525.1-p1      -           1047 4511at5820           -            508    0.0048   14.0   0.8   3   3      0.43   4.7e+02   -2.5   0.0   464   496  1008  1040   981  1044 0.71 | transcript=PVX_080525.1 | gene=PVX_080525 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr10:741383-744526(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4511at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4511at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4511at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:02 2026
# [ok]
