#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091515.1-p1      -            214 11343at5820          -            214  4.2e-155  511.6   0.5   1   1  1.5e-157  4.7e-155  511.5   0.5     1   214     1   214     1   214 1.00 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 11343at5820          -            214   2.6e-29  100.5   0.8   1   1   9.5e-32   2.9e-29  100.4   0.8     6   173     5   175     1   194 0.91 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 11343at5820          -            214   5.2e-26   89.7   0.2   1   1   2.1e-28   6.5e-26   89.4   0.2     4   169     7   175     4   190 0.88 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082950.1-p1      -            229 11343at5820          -            214   9.6e-26   88.9   0.1   1   1   3.5e-28   1.1e-25   88.7   0.1     1   170     1   178     1   216 0.86 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 11343at5820          -            214   1.4e-25   88.3   0.3   1   1   4.9e-28   1.5e-25   88.2   0.3     7   173     9   178     1   205 0.88 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 11343at5820          -            214   1.9e-25   87.9   0.4   1   1   7.4e-28   2.3e-25   87.6   0.4    10   170     9   177     2   195 0.87 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 11343at5820          -            214     1e-24   85.5   0.1   1   1     4e-27   1.2e-24   85.2   0.1     9   168     7   168     1   176 0.93 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 11343at5820          -            214   3.4e-24   83.8   0.4   1   1   1.4e-26   4.4e-24   83.4   0.4     6   168     8   174     3   182 0.89 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 11343at5820          -            214   4.3e-24   83.5   1.1   1   1   1.8e-26   5.4e-24   83.1   1.1     8   175     9   179     2   191 0.88 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081430.1-p1      -            214 11343at5820          -            214     3e-21   74.2   0.1   1   1   1.2e-23   3.8e-21   73.8   0.1     9   168    27   189    19   208 0.92 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 11343at5820          -            214   8.3e-18   62.9   3.1   1   2    0.0027      0.82    7.4   0.0     8    46     5    43     1    59 0.84 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 11343at5820          -            214   8.3e-18   62.9   3.1   2   2   6.1e-18   1.9e-15   55.2   1.4    54   167    98   211    67   232 0.87 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122360.1-p1      -            205 11343at5820          -            214   2.6e-16   58.1   0.3   1   1     1e-18   3.2e-16   57.7   0.3     9   167    32   192    24   202 0.88 | transcript=PVX_122360.1 | gene=PVX_122360 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=Pv_Sal1_chr14:513238-514728(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
