#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095280.1-p1      -            152 14695at5820          -             87   9.9e-57  187.6  15.1   1   1   2.4e-59   1.9e-56  186.8  15.1     1    87    56   150    56   150 0.97 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 14695at5820          -             87   1.3e-10   39.9  12.7   1   1   3.8e-13     3e-10   38.7  12.7     3    84     5    83     3    86 0.86 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 14695at5820          -             87    0.0084   14.8   2.8   1   2       2.1   1.7e+03   -2.2   0.0    19    29   295   305   292   311 0.82 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 14695at5820          -             87    0.0084   14.8   2.8   2   2   1.5e-05     0.012   14.3   0.9    55    82   313   340   309   345 0.89 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 14695at5820          -             87     0.015   14.0   1.2   1   1   5.5e-05     0.044   12.5   1.2    52    79  1170  1197  1144  1202 0.85 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 14695at5820          -             87     0.015   14.0   3.7   1   2         2   1.6e+03   -2.2   0.0    10    45     8    43     5    47 0.75 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 14695at5820          -             87     0.015   14.0   3.7   2   2     5e-05      0.04   12.6   2.1    55    78   253   276   224   281 0.81 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 14695at5820          -             87     0.023   13.4   1.1   1   1   7.2e-05     0.057   12.1   1.1    48    77   229   258   212   266 0.86 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 14695at5820          -             87     0.024   13.3   3.2   1   1   8.6e-05     0.068   11.9   3.2    33    77   369   412   348   418 0.72 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14695at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14695at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:10 2026
# [ok]
