#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088180.1-p1      -            201 12100at5820          -            168  4.1e-109  360.4  16.5   1   2   2.5e-46   9.8e-44  147.7   2.1     1    73     1    73     1    82 0.96 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 12100at5820          -            168  4.1e-109  360.4  16.5   2   2   3.9e-68   1.6e-65  218.6   6.9    68   168    90   190    84   190 0.98 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 12100at5820          -            168   5.2e-35  119.3   6.1   1   2   1.1e-23   4.2e-21   74.0   0.2     5    73     7    75     3    82 0.94 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 12100at5820          -            168   5.2e-35  119.3   6.1   2   2   1.2e-15   4.7e-13   47.8   1.6    69   148    93   176    86   195 0.82 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 12100at5820          -            168   7.5e-35  118.7  11.5   1   2   4.3e-23   1.7e-20   72.0   0.7     5    73     3    71     1    78 0.94 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 12100at5820          -            168   7.5e-35  118.7  11.5   2   2   8.3e-17   3.3e-14   51.6   4.1    68   155    88   175    82   188 0.88 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 12100at5820          -            168   5.5e-30  102.9   0.8   1   2   4.5e-18   1.8e-15   55.7   0.0     7    73     4    70     1    76 0.94 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 12100at5820          -            168   5.5e-30  102.9   0.8   2   2   4.3e-15   1.7e-12   46.0   0.2    69   152    88   170    83   186 0.90 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 12100at5820          -            168   6.8e-28   96.1   5.3   1   2     1e-19   4.1e-17   61.0   0.2     4    71     5    73     1    80 0.90 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 12100at5820          -            168   6.8e-28   96.1   5.3   2   2   2.4e-12   9.5e-10   37.1   1.2    69   151    93   175    86   182 0.89 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082950.1-p1      -            229 12100at5820          -            168   5.3e-27   93.2   0.8   1   2   2.3e-13   8.9e-11   40.4   0.0     5    71     4    71     1    78 0.91 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
