#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   1  27  8.6e-193  4.7e-189  628.8  50.0     1   322     1   325     1   334 0.98 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   2  27   2.5e-71   1.4e-67  225.8   5.7   313   446   423   559   418   569 0.94 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   3  27   8.2e-35   4.6e-31  104.6   0.1   446   548   635   764   629   774 0.74 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   4  27   1.1e-72     6e-69  230.3  15.9   550   686   838   980   828   987 0.95 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   5  27   3.7e-08    0.0002   16.2   0.6   683   727  1099  1143  1095  1152 0.88 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   6  27   4.9e-50   2.7e-46  155.1   3.3   719   860  1231  1383  1192  1402 0.86 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   7  27   3.1e-37   1.7e-33  112.7   0.5   862   972  1588  1715  1577  1720 0.85 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   8  27   4.1e-08   0.00023   16.0   1.7   968  1015  1799  1846  1780  1855 0.77 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0   9  27  5.1e-165  2.8e-161  536.7  34.2  1013  1399  2048  2510  2038  2524 0.86 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  10  27     3e-13   1.6e-09   33.1   0.0  1392  1423  2606  2637  2600  2644 0.88 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001950.1-p1      -           5892 72at5820             -           3250         0 4809.3 486.0  11  27   4.4e-91   2.4e-87  291.3  15.7  1424  1573  2672  2821  2663  2828 0.97 | transcript=PVX_001950.1 | gene=PVX_001950 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:268713-286954(-) | protein_length=5892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
