#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081455.1-p1      -           1196 1494at5820           -            912         0 1833.3  45.3   1   4  4.6e-222  4.2e-219  728.2  10.5     7   351    40   394    35   400 0.98 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1494at5820           -            912         0 1833.3  45.3   2   4   3.4e-41   3.1e-38  129.6   0.9   355   438   490   582   481   588 0.90 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1494at5820           -            912         0 1833.3  45.3   3   4   1.1e-62     1e-59  200.8   7.3   431   562   619   788   613   800 0.86 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1494at5820           -            912         0 1833.3  45.3   4   4  6.5e-239    6e-236  783.9   3.8   560   912   827  1185   817  1185 0.98 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1494at5820           -            912  1.4e-107  359.1  17.7   1   5   8.9e-52   8.2e-49  164.7   6.2     6   336   235   553   231   562 0.90 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1494at5820           -            912  1.4e-107  359.1  17.7   2   5    0.0058       5.3    3.1   0.0   406   481   544   627   543   642 0.80 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1494at5820           -            912  1.4e-107  359.1  17.7   3   5   2.3e-08   2.1e-05   21.0   0.0   508   559   822   873   812   877 0.91 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1494at5820           -            912  1.4e-107  359.1  17.7   4   5   2.2e-53     2e-50  170.0   0.1   582   742   925  1085   889  1128 0.89 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 1494at5820           -            912  1.4e-107  359.1  17.7   5   5   0.00033      0.31    7.2   0.2   813   904  1249  1341  1229  1350 0.79 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   1   6    0.0011      0.98    5.6   0.1    48   155   473   582   445   595 0.56 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   2   6     0.015        14    1.7   1.8   164   332   649   810   625   878 0.73 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   3   6   1.5e-06    0.0014   15.0   0.1   505   562  1090  1147  1046  1162 0.84 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 1494at5820           -            912     2e-11   40.9   1.4   4   6   1.4e-12   1.3e-09   34.9   0.1   579   630  1284  1335  1259  1341 0.88 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
