#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122885.1-p1      -           1164 2563at5820           -            842         0 1583.3 114.4   1   3   1.3e-05     0.018   11.5   2.3     4    69    44   116    41   153 0.71 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 2563at5820           -            842         0 1583.3 114.4   2   3   1.2e-05     0.017   11.6  13.6    32   102   170   232   149   283 0.68 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122885.1-p1      -           1164 2563at5820           -            842         0 1583.3 114.4   3   3         0         0 1572.0  83.0    26   842   307  1164   282  1164 0.93 | transcript=PVX_122885.1 | gene=PVX_122885 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr14:958687-963915(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 2563at5820           -            842   1.3e-68  230.3  58.8   1   2   1.8e-06    0.0025   14.3  33.0   108   443    11   360     6   380 0.66 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 2563at5820           -            842   1.3e-68  230.3  58.8   2   2   3.9e-69   5.4e-66  221.7  17.8   521   807   470   752   445   765 0.92 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084505.1-p1      -           1005 2563at5820           -            842   6.3e-64  214.8  32.5   1   1   2.5e-66   3.5e-63  212.4  32.5   514   812   690   990   541   996 0.87 | transcript=PVX_084505.1 | gene=PVX_084505 | organism=Plasmodium_vivax_Sal-1 | gene_product=3',5'-cyclic nucleotide phosphodiesterase, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr13:375664-379127(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 2563at5820           -            842   1.3e-41  141.0  23.1   1   3         4   5.5e+03  -10.5  18.9   141   341    43   253    27   279 0.64 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 2563at5820           -            842   1.3e-41  141.0  23.1   2   3   9.3e-45   1.3e-41  141.0  23.1   471   738   345   627   327   688 0.81 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116945.1-p1      -            803 2563at5820           -            842   1.3e-41  141.0  23.1   3   3   2.1e-05      0.03   10.8   4.3   753   826   689   762   675   771 0.76 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2563at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2563at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2563at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:42 2026
# [ok]
