#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081430.1-p1      -            214 11317at5820          -            146   1.4e-90  299.0   5.2   1   2   1.2e-81   4.1e-79  261.8   0.7     1   113    34   146    34   159 0.98 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081430.1-p1      -            214 11317at5820          -            146   1.4e-90  299.0   5.2   2   2   6.2e-13   2.1e-10   38.9   0.3   113   145   165   207   147   208 0.77 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 11317at5820          -            146   6.3e-40  134.7   0.5   1   2     4e-36   1.4e-33  114.1   0.0     1   119    18   136    18   146 0.94 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 11317at5820          -            146   6.3e-40  134.7   0.5   2   2     7e-07   0.00024   19.2   0.1   113   144   149   180   139   182 0.87 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122360.1-p1      -            205 11317at5820          -            146   5.9e-38  128.3   0.3   1   1   2.6e-38     9e-36  121.2   0.3     1   136    39   192    39   198 0.89 | transcript=PVX_122360.1 | gene=PVX_122360 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=Pv_Sal1_chr14:513238-514728(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 11317at5820          -            146   9.1e-38  127.7   4.5   1   2   1.1e-09   3.9e-07   28.3   0.0     1    44    13    56    13    65 0.94 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 11317at5820          -            146   9.1e-38  127.7   4.5   2   2   1.3e-29   4.6e-27   92.9   2.1    39   143    98   218    88   221 0.78 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 11317at5820          -            146   1.4e-36  123.8   0.1   1   2   7.8e-35   2.7e-32  109.9   0.0     1   124    14   136    14   144 0.96 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 11317at5820          -            146   1.4e-36  123.8   0.1   2   2    0.0001     0.035   12.2   0.1   114   136   145   167   138   175 0.89 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 11317at5820          -            146   1.8e-36  123.4   5.1   1   2   4.6e-37   1.6e-34  117.1   1.6     1   126    15   140    15   145 0.97 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 11317at5820          -            146   1.8e-36  123.4   5.1   2   2    0.0019      0.65    8.1   0.1   113   137   146   170   140   180 0.82 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 11317at5820          -            146   3.2e-35  119.4   1.5   1   2   1.7e-36   5.9e-34  115.3   0.2     1   114    18   132    18   142 0.95 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122840.1-p1      -            216 11317at5820          -            146   3.2e-35  119.4   1.5   2   2     0.053        18    3.4   0.1   108   135   145   172   135   182 0.79 | transcript=PVX_122840.1 | gene=PVX_122840 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=Pv_Sal1_chr14:915775-917324(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 11317at5820          -            146   5.2e-35  118.7   2.7   1   2   1.1e-35   3.8e-33  112.7   0.5     1   125    19   143    19   150 0.97 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 11317at5820          -            146   5.2e-35  118.7   2.7   2   2    0.0044       1.5    6.9   0.1   113   136   150   173   143   181 0.83 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088180.1-p1      -            201 11317at5820          -            146   4.5e-31  106.0   2.5   1   1   2.8e-33   9.7e-31  104.9   2.5     1   124    17   140    17   174 0.87 | transcript=PVX_088180.1 | gene=PVX_088180 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=Pv_Sal1_chr01:480652-481981(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082950.1-p1      -            229 11317at5820          -            146   8.3e-29   98.6   0.2   1   1   4.1e-31   1.4e-28   97.8   0.2     1   123    16   139    16   169 0.89 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 11317at5820          -            146   1.1e-23   82.0   0.8   1   1   9.1e-24   3.1e-21   74.0   0.8     1    95    15   109    15   182 0.82 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
