#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   1   5  1.4e-196  8.6e-194  644.2  53.4     7   381   168   588   166   594 0.93 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   2   5   4.2e-71   2.6e-68  229.0  19.5   382   520   707   845   703   877 0.95 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   3   5      0.43   2.6e+02   -2.6   0.0   512   530   862   880   854   887 0.81 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   4   5  7.6e-102   4.6e-99  330.8  26.4   523   713   956  1156   945  1159 0.95 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119255.1-p1      -           1364 1711at5820           -            877         0 1504.1 138.8   5   5   5.2e-96   3.2e-93  311.4  15.1   713   877  1196  1364  1192  1364 0.97 | transcript=PVX_119255.1 | gene=PVX_119255 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=Pv_Sal1_chr08:1616854-1620948(-) | protein_length=1364 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   1   7       1.1   6.9e+02   -4.0  14.6    43   253    62   274    50   310 0.69 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   2   7   1.4e-40   8.7e-38  128.0  15.0   543   850   337   654   332   681 0.85 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   3   7      0.84   5.1e+02   -3.6   0.0   853   875   704   726   701   727 0.88 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   4   7   0.00025      0.15    8.1   9.3    73   174   861   969   821   991 0.76 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   5   7     0.011       6.5    2.7   0.2   582   657  1161  1236  1146  1242 0.83 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 1711at5820           -            877   3.9e-53  178.8  22.8   6   7     0.061        37    0.2   0.2   637   685  1270  1317  1254  1327 0.85 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
