#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080570.1-p1      -            288 9899at5820           -            239  9.4e-140  462.2   2.9   1   1  1.3e-141  1.4e-138  458.3   2.9     1   239    26   283    26   283 0.96 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118380.1-p1      -            988 9899at5820           -            239   8.7e-26   89.1   0.3   1   1   1.8e-28   1.9e-25   88.0   0.3    54   191   132   271   115   309 0.88 | transcript=PVX_118380.1 | gene=PVX_118380 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr12:2669317-2672283(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123162.1-p1      -            289 9899at5820           -            239   4.9e-12   44.1   9.4   1   1   6.1e-15   6.7e-12   43.6   9.4     5   191    56   255    53   283 0.73 | transcript=PVX_123162.1 | gene=PVX_123162 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr14:1184722-1186481(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 9899at5820           -            239   1.4e-05   23.0   0.0   1   4      0.92     1e+03   -2.8   0.5   161   197    24    62    19    79 0.72 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 9899at5820           -            239   1.4e-05   23.0   0.0   2   4       1.9   2.1e+03   -3.8   0.0    18    33   112   127   104   130 0.85 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 9899at5820           -            239   1.4e-05   23.0   0.0   3   4       2.1   2.3e+03   -4.0   0.1    11    27   389   405   385   415 0.62 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 9899at5820           -            239   1.4e-05   23.0   0.0   4   4   1.2e-08   1.4e-05   23.0   0.0    55   145   525   620   499   631 0.75 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 9899at5820           -            239   0.00049   17.9   0.2   1   2     0.056        62    1.2   0.2    30    85   259   316   248   323 0.77 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 9899at5820           -            239   0.00049   17.9   0.2   2   2     6e-06    0.0067   14.2   0.0    57   111   322   375   316   390 0.86 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9899at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:08 2026
# [ok]
