#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101465.1-p1      -            737 6358at5820           -            578         0 1086.9  33.0   1   1         0         0 1086.9  33.0     6   575    91   693    82   697 0.95 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 6358at5820           -            578   9.3e-65  217.5   2.3   1   2   4.1e-13     6e-11   39.8   0.0    22    84   281   342   263   353 0.82 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 6358at5820           -            578   9.3e-65  217.5   2.3   2   2   1.7e-54   2.5e-52  176.4   1.1   101   385   403   678   389   704 0.89 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 6358at5820           -            578     1e-61  207.4  11.1   1   2       9.5   1.4e+03   -4.3   7.7   500   539    17    53     1    69 0.43 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 6358at5820           -            578     1e-61  207.4  11.1   2   2   6.9e-64     1e-61  207.4  11.1    17   390   144   498   129   536 0.90 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 6358at5820           -            578   1.4e-61  206.9  12.1   1   1   2.2e-63   3.2e-61  205.8  12.1    12   402   125   491   114   529 0.88 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 6358at5820           -            578   3.5e-60  202.4   0.3   1   1   2.4e-62   3.5e-60  202.4   0.3    22   399   221   587   218   597 0.87 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 6358at5820           -            578   1.4e-58  197.0   3.3   1   1   9.8e-61   1.4e-58  197.0   3.3    32   405   638  1005   627  1008 0.89 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 6358at5820           -            578   4.4e-56  188.8   0.0   1   1   4.5e-58   6.6e-56  188.2   0.0    30   404   124   483   117   487 0.90 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 6358at5820           -            578   3.5e-53  179.2   2.6   1   2   2.4e-55   3.5e-53  179.2   2.6    30   402   680  1037   671  1061 0.88 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 6358at5820           -            578   3.5e-53  179.2   2.6   2   2       7.5   1.1e+03   -4.0  14.5   445   558  1229  1348  1222  1359 0.61 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
