#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084365.1-p1      -           1427 857at5820            -           1079         0 2395.8  34.2   1   2         0         0 1753.9  22.6     1   778   202  1010   202  1015 0.98 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 857at5820            -           1079         0 2395.8  34.2   2   2  4.2e-198  7.8e-195  647.8   3.7   768  1079  1090  1427  1084  1427 0.95 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 857at5820            -           1079  6.5e-208  691.2   8.1   1   2  3.7e-128  6.9e-125  416.2   1.7    11   812    34   898    24   910 0.80 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 857at5820            -           1079  6.5e-208  691.2   8.1   2   2   2.9e-86   5.4e-83  277.5   0.6   822  1077  1066  1337  1045  1339 0.92 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   1   7   5.8e-11   1.1e-07   28.2   1.9    25   179    96   263    83   279 0.78 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   2   7      0.34   6.4e+02   -4.2   1.2   303   383   389   464   383   492 0.73 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   3   7   3.2e-14   5.9e-11   39.0   0.1   439   594   611   780   535   806 0.74 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   4   7   6.3e-31   1.2e-27   94.3   0.0   625   772   963  1110   953  1126 0.95 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   5   7   4.3e-29   7.9e-26   88.2   0.0   823   915  1198  1289  1155  1307 0.82 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   6   7   2.5e-35   4.6e-32  108.9   0.3   930  1043  1377  1490  1365  1501 0.97 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 857at5820            -           1079  3.7e-102  341.0  30.5   7   7     0.018        33    0.1   0.5  1035  1077  1516  1553  1510  1555 0.83 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:38 2026
# [ok]
