#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087155.1-p1      -            833 3532at5820           -            596  4.7e-276  915.6  74.8   1   4   3.8e-14   2.6e-11   41.3   5.2     1    38     1    39     1    42 0.93 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 3532at5820           -            596  4.7e-276  915.6  74.8   2   4   4.8e-58   3.3e-55  186.3   0.7    30   130   101   201    84   206 0.94 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 3532at5820           -            596  4.7e-276  915.6  74.8   3   4  2.2e-132  1.5e-129  431.7  28.0   128   413   231   564   223   569 0.91 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087155.1-p1      -            833 3532at5820           -            596  4.7e-276  915.6  74.8   4   4   4.1e-81   2.8e-78  262.4  18.4   403   596   593   830   584   830 0.85 | transcript=PVX_087155.1 | gene=PVX_087155 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=Pv_Sal1_chr07:1206891-1209392(-) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 3532at5820           -            596   3.8e-21   73.8   1.2   1   3   3.2e-16   2.2e-13   48.1   0.5    38   107   100   177    71   185 0.72 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 3532at5820           -            596   3.8e-21   73.8   1.2   2   3     9e-09   6.2e-06   23.5   0.0   152   241   189   284   182   308 0.82 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 3532at5820           -            596   3.8e-21   73.8   1.2   3   3       1.1   7.3e+02   -3.1   0.1   151   504   443   488   405   501 0.45 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 3532at5820           -            596   5.3e-21   73.3   0.1   1   2   1.9e-13   1.3e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 3532at5820           -            596   5.3e-21   73.3   0.1   2   2     2e-11   1.4e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 3532at5820           -            596   5.3e-21   73.3   0.1   1   2   1.9e-13   1.3e-10   39.0   0.0    46   107     7    73     4    81 0.89 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 3532at5820           -            596   5.3e-21   73.3   0.1   2   2     2e-11   1.4e-08   32.3   0.0   156   240    89   177    84   195 0.84 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 3532at5820           -            596   5.3e-09   33.7   0.1   1   2   0.00022      0.16    9.0   0.0    47    86    73   112    69   134 0.91 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 3532at5820           -            596   5.3e-09   33.7   0.1   2   2   2.1e-08   1.5e-05   22.3   0.0   157   225   140   205   133   228 0.84 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 3532at5820           -            596   2.1e-06   25.1   0.0   1   2      0.01       7.2    3.5   0.2    45    66    34    55     4    60 0.88 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 3532at5820           -            596   2.1e-06   25.1   0.0   2   2   1.7e-07   0.00012   19.3   0.0    99   245    65   211    62   242 0.75 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 3532at5820           -            596   2.2e-05   21.8   0.6   1   3    0.0092       6.4    3.7   0.0    47    66     4    23     1    40 0.83 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 3532at5820           -            596   2.2e-05   21.8   0.6   2   3    0.0002      0.14    9.2   0.1   154   221   127   190   123   203 0.87 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 3532at5820           -            596   2.2e-05   21.8   0.6   3   3    0.0029         2    5.3   0.0   360   393   382   415   378   453 0.79 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 3532at5820           -            596    0.0013   15.9   5.2   1   3   0.00059      0.41    7.6   0.0    40    73    19    52    11    81 0.72 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 3532at5820           -            596    0.0013   15.9   5.2   2   3   0.00043       0.3    8.1   0.2   153   187    91   125    76   133 0.88 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 3532at5820           -            596    0.0013   15.9   5.2   3   3       0.2   1.4e+02   -0.7   0.0   307   349  1000  1041   982  1072 0.79 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
