#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   1   9   2.2e-30     2e-27   92.3   0.9     1    55     1    55     1    63 0.97 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   2   9   5.6e-36   5.2e-33  110.8   0.6    56   124   108   189   105   197 0.90 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   3   9         0         0 3539.0 100.1   123  1908   233  2182   229  2187 0.95 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   4   9  2.1e-157  1.9e-154  513.9   0.5  1908  2153  2227  2486  2218  2499 0.95 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   5   9         0         0 3051.3  38.3  2153  3532  2566  4007  2543  4016 0.97 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   6   9   3.9e-35   3.6e-32  108.0   0.2  3530  3626  4033  4168  4027  4175 0.82 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   7   9  6.4e-234  5.9e-231  767.8   3.5  3623  3991  4217  4600  4194  4623 0.97 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   8   9   1.1e-54     1e-51  172.9   1.3  3974  4098  4671  4804  4664  4818 0.91 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 25at5820             -           4225         0 8514.3 197.5   9   9   4.1e-61   3.7e-58  194.3   0.1  4094  4225  4862  5031  4855  5031 0.83 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   1   9         6   5.5e+03  -13.2  16.3   582   808   979  1192   975  1226 0.71 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   2   9       4.6   4.2e+03   -8.4  13.2  1193  1318  1147  1278  1130  1289 0.65 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   3   9         6   5.5e+03  -23.0  25.4  1059  1288  1735  1968  1588  1985 0.76 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   4   9  2.3e-169  2.2e-166  553.5  44.1  1279  2204  2060  3055  2046  3071 0.82 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 25at5820             -           4225  1.2e-276  919.5 223.5   5   9   1.2e-16   1.1e-13   46.7   6.0  2306  2594  3385  3681  3341  3695 0.77 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
