#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084455.1-p1      -           1539 1149at5820           -            799         0 1364.6 124.4   1   5  2.7e-289  5.1e-286  949.7  60.4     1   444    66   516    66   560 0.96 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1149at5820           -            799         0 1364.6 124.4   2   5   3.2e-37   5.8e-34  116.0  22.3   452   568   740   882   720   893 0.78 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1149at5820           -            799         0 1364.6 124.4   3   5   9.6e-16   1.8e-12   45.0   2.0   574   629  1038  1103  1028  1142 0.75 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1149at5820           -            799         0 1364.6 124.4   4   5   5.4e-40   9.9e-37  125.2   6.7   626   711  1266  1351  1171  1363 0.85 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1149at5820           -            799         0 1364.6 124.4   5   5   4.6e-48   8.4e-45  151.9   1.9   709   799  1439  1539  1426  1539 0.93 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1149at5820           -            799   2.1e-62  210.1  51.6   1   5   6.4e-42   1.2e-38  131.6  27.4     3   221    22   251    20   273 0.84 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1149at5820           -            799   2.1e-62  210.1  51.6   2   5   8.9e-31   1.6e-27   94.7  16.2   244   434   500   674   485   721 0.82 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1149at5820           -            799   2.1e-62  210.1  51.6   3   5       1.6   2.9e+03   -5.4   2.1   600   631  1248  1279  1199  1337 0.50 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1149at5820           -            799   2.1e-62  210.1  51.6   4   5       1.2   2.2e+03   -4.9   2.8   446   534  1618  1682  1585  1699 0.52 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100515.1-p1      -           2142 1149at5820           -            799   2.1e-62  210.1  51.6   5   5    0.0081        15    2.2   0.2   759   798  2102  2140  2064  2141 0.79 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 1149at5820           -            799         1    6.1   7.6   1   2     0.081   1.5e+02   -1.1   1.6   482   512    48    78    18   110 0.54 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
