#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003690.1-p1      -            191 12974at5820          -            164   1.7e-77  257.1  12.1   1   1   4.3e-80     2e-77  256.9  12.1    12   163    31   190    17   191 0.93 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   1   8   3.8e-05     0.018   13.1   4.3    48    90    11    53     5    56 0.89 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   2   8   1.2e-15   5.4e-13   47.3  11.0    18    90    48   122    48   124 0.93 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   3   8   1.1e-09     5e-07   27.9   7.6    56   106   111   165   110   168 0.85 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   4   8   8.6e-06     0.004   15.3   8.1    56   106   134   188   133   190 0.81 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   5   8   6.3e-13   2.9e-10   38.5  22.1     5   102   155   253   152   255 0.91 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   6   8   9.3e-13   4.3e-10   37.9  21.2    13   103   186   277   182   282 0.88 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   7   8   9.8e-09   4.5e-06   24.8   7.9    50   102   248   299   248   302 0.91 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 12974at5820          -            164     3e-37  126.2 125.4   8   8   9.3e-06    0.0043   15.1   0.7    50   104   294   348   294   357 0.57 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 12974at5820          -            164   6.8e-28   95.8  39.4   1   2   1.7e-10   7.8e-08   30.5  13.4    46    93    43    90     5   107 0.84 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 12974at5820          -            164   6.8e-28   95.8  39.4   2   2     6e-23   2.8e-20   71.0  18.1     4   148   206   349   203   359 0.89 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
