#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   1   9   4.3e-18   1.4e-15   54.3   0.8     9    71    80   142    76   184 0.87 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   2   9     2e-87   6.4e-85  284.1  35.9    69   314   424   725   408   741 0.76 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   3   9    0.0019       0.6    5.8   3.4   285   328   857   901   853   915 0.85 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   4   9   1.1e-42   3.5e-40  135.8  12.2   315   411   921  1017   905  1024 0.87 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   5   9   2.1e-79     7e-77  257.5   7.0   401   562  1068  1240  1046  1244 0.90 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   6   9  2.4e-153  7.8e-151  502.5  48.4   560   918  1303  1715  1302  1730 0.86 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   7   9      0.35   1.1e+02   -1.7   0.7   887   910  1734  1757  1721  1768 0.87 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   8   9  1.1e-147  3.6e-145  483.8  27.7   896  1170  1768  2078  1762  2089 0.87 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114512.1-p1      -           2588 352at5820            -           1432         0 2317.8 204.7   9   9  8.7e-193  2.8e-190  633.2   8.4  1162  1432  2231  2505  2145  2505 0.89 | transcript=PVX_114512.1 | gene=PVX_114512 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2-alpha kinase, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase, putative | location=Pv_Sal1_chr11:871533-879299(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 352at5820            -           1432   1.6e-13   47.5  26.9   1   4    0.0086       2.8    3.6  10.5   873  1046   393   567   356   585 0.59 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 352at5820            -           1432   1.6e-13   47.5  26.9   2   4   7.7e-13   2.5e-10   36.9   4.5  1172  1283   571   675   553   683 0.76 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 352at5820            -           1432   1.6e-13   47.5  26.9   3   4   1.4e-06   0.00047   16.1   0.0  1321  1406   685   770   680   794 0.79 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 352at5820            -           1432   1.6e-13   47.5  26.9   4   4       1.5     5e+02   -3.9   0.9  1059  1118   833   895   800   929 0.58 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 352at5820            -           1432   8.6e-10   35.1   4.9   1   2    0.0004      0.13    8.0   0.1   954  1047   112   204    93   210 0.79 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 352at5820            -           1432   8.6e-10   35.1   4.9   2   2   1.6e-10   5.3e-08   29.2   1.1  1233  1284   210   260   204   285 0.88 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 352at5820            -           1432     6e-09   32.3   1.2   1   1     4e-11   1.3e-08   31.2   1.2  1228  1383  3102  3272  3054  3299 0.72 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 352at5820            -           1432   7.7e-09   32.0   2.1   1   2     0.026       8.6    2.0   0.0   946  1003    16    69    12    78 0.83 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 352at5820            -           1432   7.7e-09   32.0   2.1   2   2   1.6e-10   5.3e-08   29.2   0.2  1236  1289   124   176    81   190 0.77 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 352at5820            -           1432   2.1e-08   30.5   3.8   1   2   3.1e-09     1e-06   24.9   1.7  1237  1284   120   166    71   172 0.85 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 352at5820            -           1432   2.1e-08   30.5   3.8   2   2    0.0015      0.49    6.1   0.0  1318  1408   171   265   165   277 0.69 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 352at5820            -           1432   1.6e-07   27.6   0.5   1   2     5e-10   1.6e-07   27.6   0.5  1232  1277   201   244   177   252 0.87 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084105.1-p1      -            368 352at5820            -           1432   1.6e-07   27.6   0.5   2   2     0.073        24    0.5   3.2    13    59   303   351   293   364 0.67 | transcript=PVX_084105.1 | gene=PVX_084105 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr13:15875-16981(-) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082880.1-p1      -            897 352at5820            -           1432   1.7e-07   27.5   0.0   1   1     8e-10   2.6e-07   26.9   0.0  1233  1276   533   577   514   584 0.89 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 352at5820            -           1432   1.9e-07   27.4   0.7   1   2      0.88   2.9e+02   -3.1   0.1   964   966   133   135   114   197 0.55 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 352at5820            -           1432   1.9e-07   27.4   0.7   2   2   7.4e-10   2.4e-07   27.0   0.1  1227  1278   214   269   200   279 0.81 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 352at5820            -           1432   3.9e-07   26.3   0.0   1   1   3.1e-09     1e-06   25.0   0.0  1237  1281   197   244   187   253 0.86 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 352at5820            -           1432   1.4e-06   24.5   0.5   1   2      0.61     2e+02   -2.5   0.0   952   966    32    46    29    63 0.87 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 352at5820            -           1432   1.4e-06   24.5   0.5   2   2   4.3e-09   1.4e-06   24.5   0.5  1236  1283   141   190   114   193 0.84 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 352at5820            -           1432     3e-06   23.4   1.2   1   2      0.58   1.9e+02   -2.5   0.1   950  1015   172   233   162   242 0.69 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 352at5820            -           1432     3e-06   23.4   1.2   2   2   1.1e-08   3.7e-06   23.1   0.1  1238  1351   281   393   272   401 0.66 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 352at5820            -           1432   2.3e-05   20.4   0.3   1   2     0.029       9.3    1.9   0.0   947   973     6    32     3    80 0.72 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 352at5820            -           1432   2.3e-05   20.4   0.3   2   2   9.3e-07    0.0003   16.7   0.1  1242  1278   130   165    99   172 0.81 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 352at5820            -           1432   9.9e-05   18.4   2.9   1   2    0.0021      0.67    5.7   0.2   948  1023   456   524   434   538 0.79 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
