#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117690.1-p1      -           1038 1690at5820           -            766         0 1467.5  77.0   1   4    1e-173  1.2e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1690at5820           -            766         0 1467.5  77.0   2   4  4.3e-219  4.7e-216  718.1  38.2   259   630   307   720   302   727 0.93 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1690at5820           -            766         0 1467.5  77.0   3   4     0.001       1.1    5.9   0.0   613   635   748   770   737   782 0.82 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1690at5820           -            766         0 1467.5  77.0   4   4   5.2e-56   5.7e-53  178.8   6.3   625   765   857  1035   814  1036 0.85 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1690at5820           -            766     1e-42  144.9  24.8   1   3   9.1e-46     1e-42  144.9  24.8     5   440    16   451    12   460 0.88 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1690at5820           -            766     1e-42  144.9  24.8   2   3    0.0096        11    2.7   3.9   556   599   686   724   633   748 0.77 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1690at5820           -            766     1e-42  144.9  24.8   3   3       1.2   1.3e+03   -4.2   2.1   511   554  1251  1294  1235  1305 0.80 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1690at5820           -            766   1.8e-27   94.5  33.2   1   3   3.9e-25   4.3e-22   76.7  12.0     6   169    10   178     4   232 0.87 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1690at5820           -            766   1.8e-27   94.5  33.2   2   3   7.9e-09   8.7e-06   22.8   8.2   275   426   541   696   536   706 0.85 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1690at5820           -            766   1.8e-27   94.5  33.2   3   3    0.0062       6.9    3.3   0.2   557   607   836   886   824   920 0.78 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 1690at5820           -            766   1.1e-06   25.7   0.4   1   3     0.056        62    0.1   0.0    48   120    62   134    54   166 0.70 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 1690at5820           -            766   1.1e-06   25.7   0.4   2   3     1e-09   1.1e-06   25.7   0.4   110   178   208   276   200   286 0.89 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088130.1-p1      -           1422 1690at5820           -            766   1.1e-06   25.7   0.4   3   3      0.95     1e+03   -3.9   0.1   307   371   505   576   500   589 0.57 | transcript=PVX_088130.1 | gene=PVX_088130 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=Pv_Sal1_chr01:449291-453875(-) | protein_length=1422 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 1690at5820           -            766   1.5e-06   25.3  19.6   1   3   9.4e-08    0.0001   19.2   0.5    98   179    99   181    68   213 0.85 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 1690at5820           -            766   1.5e-06   25.3  19.6   2   3   2.1e-06    0.0023   14.8   6.3   260   380   352   472   339   490 0.80 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085050.1-p1      -           1311 1690at5820           -            766   1.5e-06   25.3  19.6   3   3      0.12   1.3e+02   -1.0   0.4   102   183   533   618   530   661 0.80 | transcript=PVX_085050.1 | gene=PVX_085050 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatamer protein, beta subunit, putative | transcript_product=coatamer protein, beta subunit, putative | location=Pv_Sal1_chr13:870150-874849(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1690at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1690at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:09 2026
# [ok]
