#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   1  13   4.2e-06     0.023    9.7   0.6     1    21     1    21     1    25 0.95 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   2  13         0         0 1140.4  23.7    19   720    63   855    60   860 0.92 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   3  13  4.8e-142  2.6e-138  460.6  15.1   731   993   903  1189   887  1192 0.92 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   4  13  7.8e-210  4.3e-206  685.4   6.0   987  1427  1206  1720  1200  1725 0.88 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   5  13   1.1e-05     0.063    8.3   0.0  1428  1456  1751  1779  1731  1798 0.75 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   6  13  2.1e-124  1.2e-120  402.1   8.0  1462  1744  1840  2162  1834  2163 0.90 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   7  13   4.7e-11   2.6e-07   26.2   0.1  1751  1817  2252  2334  2249  2346 0.71 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   8  13   3.7e-29     2e-25   86.2   0.1  1816  1905  2399  2491  2376  2502 0.82 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7   9  13    0.0058        32   -0.7   0.1  1926  1951  2588  2617  2571  2627 0.73 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7  10  13   2.2e-07    0.0012   13.9   0.1  1942  2011  2678  2751  2663  2762 0.71 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7  11  13   3.5e-13   1.9e-09   33.2   0.2  1997  2066  2793  2872  2779  2887 0.76 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7  12  13   6.1e-30   3.4e-26   88.8   0.0  2055  2203  2951  3157  2945  3168 0.80 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095215.1-p1      -           3396 118at5820            -           2222         0 2923.6 115.7  13  13   0.00018         1    4.3   0.4  2203  2222  3373  3392  3359  3392 0.81 | transcript=PVX_095215.1 | gene=PVX_095215 | organism=Plasmodium_vivax_Sal-1 | gene_product=oocyst capsule protein, putative | transcript_product=oocyst capsule protein, putative | location=Pv_Sal1_chr08:899771-909961(+) | protein_length=3396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
