#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092620.1-p1      -           1716 656at5820            -           1340         0 2351.3 122.0   1   4  4.4e-208  4.1e-205  682.5  40.2     1   401     1   475     1   499 0.83 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 656at5820            -           1340         0 2351.3 122.0   2   4   3.6e-73   3.4e-70  235.5   0.0   373   536   513   688   502   698 0.86 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 656at5820            -           1340         0 2351.3 122.0   3   4         0         0 1136.2  50.6   537  1136   734  1455   725  1465 0.97 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092620.1-p1      -           1716 656at5820            -           1340         0 2351.3 122.0   4   4   4.7e-94   4.3e-91  304.7  13.5  1132  1340  1493  1716  1457  1716 0.86 | transcript=PVX_092620.1 | gene=PVX_092620 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin heavy chain subunit, putative | transcript_product=myosin heavy chain subunit, putative | location=Pv_Sal1_chr09:1573426-1579033(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 656at5820            -           1340   7.2e-88  294.0  37.1   1   5     1e-19   9.4e-17   58.4   0.1   133   219    93   179    18   190 0.82 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 656at5820            -           1340   7.2e-88  294.0  37.1   2   5   4.2e-25   3.8e-22   76.2   0.0   264   346   184   276   179   281 0.85 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 656at5820            -           1340   7.2e-88  294.0  37.1   3   5   3.1e-49   2.8e-46  156.2   4.4   406   844   382   777   365   783 0.84 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 656at5820            -           1340   7.2e-88  294.0  37.1   4   5   0.00042      0.38    6.7   1.8   979  1008   884   913   876   920 0.89 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082400.1-p1      -           1978 656at5820            -           1340   7.2e-88  294.0  37.1   5   5   0.00079      0.72    5.8   9.2   952  1037   928  1018   918  1080 0.74 | transcript=PVX_082400.1 | gene=PVX_082400 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin C, putative | transcript_product=myosin C, putative | location=Pv_Sal1_chr12:949287-955759(+) | protein_length=1978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 656at5820            -           1340   5.6e-65  218.2  19.2   1   3   3.3e-17     3e-14   50.1   0.0   132   217   123   209    99   221 0.88 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083030.1-p1      -            817 656at5820            -           1340   5.6e-65  218.2  19.2   2   3   4.4e-24     4e-21   72.9   0.1   268   367   219   320   210   334 0.88 | transcript=PVX_083030.1 | gene=PVX_083030 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=Pv_Sal1_chr12:502044-504785(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
