#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117045.1-p1      -            743 3797at5820           -            571  5.5e-269  892.4  34.5   1   1  2.2e-271  2.4e-268  890.3  34.5     1   571     1   743     1   743 0.94 | transcript=PVX_117045.1 | gene=PVX_117045 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr12:1489889-1492120(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089510.1-p1      -            521 3797at5820           -            571   1.6e-60  204.2  24.7   1   2     9e-34     1e-30  105.8   1.4     3    67     3    67     1    76 0.92 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089510.1-p1      -            521 3797at5820           -            571   1.6e-60  204.2  24.7   2   2   5.8e-33   6.4e-30  103.1  15.8    77   167   113   203   105   461 0.60 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 3797at5820           -            571     3e-07   28.3   1.5   1   2   1.5e-09   1.7e-06   25.8   0.4    78   131     9    62     5    67 0.93 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 3797at5820           -            571     3e-07   28.3   1.5   2   2     0.059        65    0.7   0.0    79    94    76    91    73   102 0.87 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 3797at5820           -            571   0.00056   17.5   3.3   1   2     5e-07   0.00056   17.5   3.3    77   131    14    69    10    78 0.92 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 3797at5820           -            571   0.00056   17.5   3.3   2   2       1.6   1.8e+03   -4.0   1.8   236   239   390   393   328   468 0.40 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 3797at5820           -            571    0.0018   15.8   1.1   1   4   1.6e-06    0.0018   15.8   1.1    78   132    43    98    31   102 0.89 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 3797at5820           -            571    0.0018   15.8   1.1   2   4         5   5.5e+03  -14.1  49.5    83   319    83   339    79   369 0.49 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 3797at5820           -            571    0.0018   15.8   1.1   3   4         5   5.5e+03  -12.1  29.7   179   347   364   533   343   567 0.52 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 3797at5820           -            571    0.0018   15.8   1.1   4   4         5   5.5e+03  -19.6  42.7   180   370   633   822   610   978 0.66 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3797at5820.hmm
