#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085209.1-p1      -            148 13254at5820          -            127   2.3e-61  203.7  13.2   1   1   2.5e-63     2e-60  200.7  13.2     1   127     6   148     6   148 0.93 | transcript=PVX_085209.1 | gene=PVX_085209 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-associated protein, putative | transcript_product=dynein-associated protein, putative | location=Pv_Sal1_chr13:1015550-1016492(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   1   9     0.058        46    2.3   0.7    16    47    10    40     4    45 0.72 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   2   9   1.1e-07   8.4e-05   20.9   6.0     5    45    45    93    40    95 0.85 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   3   9   2.2e-05     0.018   13.4   0.4    12    35    98   121    95   122 0.91 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   4   9     1e-08   8.1e-06   24.2   4.9     8    44   117   153   116   168 0.80 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   5   9   1.8e-05     0.015   13.6   4.1     6    37   166   197   160   210 0.83 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   6   9    0.0043       3.4    6.0   0.9     7    32   190   215   185   217 0.83 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   7   9   5.3e-06    0.0042   15.4   4.1     5    50   211   255   206   258 0.78 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   8   9   0.00032      0.25    9.6   0.2     5    32   257   284   254   287 0.88 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111165.1-p1      -            369 13254at5820          -            127   2.9e-21   74.1  64.9   9   9   8.4e-05     0.067   11.5   1.6    10    50   285   325   283   330 0.87 | transcript=PVX_111165.1 | gene=PVX_111165 | organism=Plasmodium_vivax_Sal-1 | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=Pv_Sal1_chr06:668816-669925(+) | protein_length=369 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   1   6   0.00067      0.53    8.6   0.2    12    35    42    65    34    77 0.82 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   2   6   0.00035      0.27    9.5   1.8     9    40    62    93    61   100 0.85 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   3   6   4.5e-05     0.036   12.4   2.3     4    36    80   112    76   114 0.88 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   4   6   3.7e-05     0.029   12.7   2.0     3    45   102   143    99   174 0.75 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   5   6   1.6e-06    0.0012   17.1   9.7     7    54   175   222   167   224 0.86 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 13254at5820          -            127   6.8e-10   37.3  33.1   6   6     0.016        12    4.2   0.2     4    31   221   248   217   309 0.80 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 13254at5820          -            127     0.001   17.4  33.8   1   4     0.032        25    3.2  10.2     4    46    55    97    51   111 0.86 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 13254at5820          -            127     0.001   17.4  33.8   2   4      0.73   5.8e+02   -1.2   0.1    66    89   230   253   196   258 0.72 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 13254at5820          -            127     0.001   17.4  33.8   3   4   8.7e-05     0.069   11.5   3.9     5    52   260   305   255   308 0.83 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 13254at5820          -            127     0.001   17.4  33.8   4   4   2.3e-06    0.0018   16.5   1.1     6    50   307   349   302   359 0.80 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 13254at5820          -            127      0.27    9.5  16.6   1   2      0.02        16    3.8   0.2     4    31    33    60    30    63 0.79 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003690.1-p1      -            191 13254at5820          -            127      0.27    9.5  16.6   2   2     0.018        14    4.0  12.9     5    55    57   117    52   170 0.81 | transcript=PVX_003690.1 | gene=PVX_003690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:682408-683596(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 13254at5820          -            127      0.29    9.4  25.3   1   5       1.5   1.2e+03   -2.2   0.5    62   118    27    85    21    94 0.59 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 13254at5820          -            127      0.29    9.4  25.3   2   5    0.0023       1.8    6.9   1.6     3    56   167   230   165   234 0.72 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 13254at5820          -            127      0.29    9.4  25.3   3   5      0.47   3.7e+02   -0.6   2.6     8    47   218   256   210   263 0.74 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 13254at5820          -            127      0.29    9.4  25.3   4   5    0.0025         2    6.7   0.7     4    34   260   290   256   299 0.86 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092095.1-p1      -           1005 13254at5820          -            127      0.29    9.4  25.3   5   5   0.00014      0.11   10.8   0.8     4    34   330   360   326   403 0.85 | transcript=PVX_092095.1 | gene=PVX_092095 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr09:1087951-1090968(+) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099715.1-p1      -           1180 13254at5820          -            127       2.6    6.4  11.0   1   1     0.018        14    4.0  11.0    13    60    39    90    34   164 0.71 | transcript=PVX_099715.1 | gene=PVX_099715 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr07:986561-990636(+) | protein_length=1180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13254at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13254at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13254at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:12 2026
# [ok]
