#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119815.1-p1      -            308 8615at5820           -            302  2.1e-218  721.4   3.1   1   1  3.9e-221  2.4e-218  721.3   3.1     1   302     6   308     6   308 0.99 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099825.1-p1      -            307 8615at5820           -            302  1.4e-114  380.5   0.7   1   1  2.8e-117  1.7e-114  380.2   0.7     6   275    11   278     6   297 0.96 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 8615at5820           -            302     1e-97  325.1   0.7   1   1  2.2e-100   1.3e-97  324.8   0.7     4   300   205   505   202   507 0.93 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085730.1-p1      -            304 8615at5820           -            302   4.8e-78  260.6   0.1   1   1   9.8e-81     6e-78  260.2   0.1    11   284    21   296    12   303 0.93 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 8615at5820           -            302   1.1e-57  193.7   0.4   1   1   2.6e-60   1.6e-57  193.2   0.4    19   283    56   336    43   348 0.86 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 8615at5820           -            302   8.2e-52  174.4   0.1   1   1   2.2e-54   1.3e-51  173.7   0.1    37   271   425   659   387   677 0.90 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 8615at5820           -            302   2.6e-50  169.5   0.5   1   1   3.1e-52   1.9e-49  166.7   0.5    20   275   541   831   532   849 0.83 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 8615at5820           -            302     1e-40  138.0   3.4   1   1   2.3e-43   1.4e-40  137.6   2.8    33   274   230   480   203   512 0.79 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 8615at5820           -            302   1.5e-29  101.3   2.2   1   2   1.5e-05    0.0092   13.4   0.0    17    85  1130  1202  1115  1208 0.77 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 8615at5820           -            302   1.5e-29  101.3   2.2   2   2     3e-27   1.8e-24   84.6   0.7    71   271  1255  1502  1248  1521 0.71 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
