#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083400.1-p1      -            585 5251at5820           -            481  2.2e-301  997.6   2.4   1   1  4.6e-304  3.7e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVX_083400.1 | gene=PVX_083400 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr12:150172-152234(+) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 5251at5820           -            481   2.6e-71  238.8   7.3   1   3      0.22   1.7e+02   -1.3   0.1    35    79    86   134    54   149 0.72 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 5251at5820           -            481   2.6e-71  238.8   7.3   2   3   9.3e-61   7.3e-58  194.5   3.6    96   445   227   583   212   595 0.87 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085610.1-p1      -            677 5251at5820           -            481   2.6e-71  238.8   7.3   3   3   2.5e-15     2e-12   44.7   0.0   427   481   622   676   610   676 0.88 | transcript=PVX_085610.1 | gene=PVX_085610 | organism=Plasmodium_vivax_Sal-1 | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=Pv_Sal1_chr13:1354810-1356843(-) | protein_length=677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081610.1-p1      -            631 5251at5820           -            481   1.4e-18   64.9   3.6   1   1     6e-21   4.8e-18   63.2   3.6   155   477   302   623   293   626 0.72 | transcript=PVX_081610.1 | gene=PVX_081610 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=Pv_Sal1_chr02:487513-489408(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 5251at5820           -            481   7.8e-08   29.5   0.3   1   3      0.27   2.1e+02   -1.6   0.0    58    97   209   248   201   266 0.85 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 5251at5820           -            481   7.8e-08   29.5   0.3   2   3   0.00027      0.21    8.3   0.0   220   291   483   554   476   571 0.86 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098040.1-p1      -            759 5251at5820           -            481   7.8e-08   29.5   0.3   3   3     3e-07   0.00024   18.0   0.0   446   478   720   752   709   754 0.90 | transcript=PVX_098040.1 | gene=PVX_098040 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr10:947622-949901(-) | protein_length=759 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 5251at5820           -            481   1.1e-07   29.1   0.3   1   3      0.49   3.9e+02   -2.5   0.0   173   198   218   243   208   254 0.76 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 5251at5820           -            481   1.1e-07   29.1   0.3   2   3   5.5e-06    0.0043   13.9   0.3   205   306   308   411   297   444 0.78 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002940.1-p1      -            584 5251at5820           -            481   1.1e-07   29.1   0.3   3   3   1.7e-05     0.014   12.2   0.0   444   478   543   577   526   579 0.91 | transcript=PVX_002940.1 | gene=PVX_002940 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=Pv_Sal1_chr04:399979-401733(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
