#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118055.1-p1      -            321 9793at5820           -            231  2.7e-113  375.3  19.2   1   3   1.2e-26   1.7e-23   81.5   0.2     1    54     1    54     1    75 0.93 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 9793at5820           -            231  2.7e-113  375.3  19.2   2   3   1.5e-31   2.1e-28   97.5   0.6    51   108   107   164    98   171 0.95 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118055.1-p1      -            321 9793at5820           -            231  2.7e-113  375.3  19.2   3   3   3.2e-64   4.5e-61  204.4   6.6   107   231   185   320   176   320 0.93 | transcript=PVX_118055.1 | gene=PVX_118055 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2369022-2369987(-) | protein_length=321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 9793at5820           -            231   7.2e-06   23.8  13.0   1   3      0.77   1.1e+03   -2.9   0.5   112   158    72   118    52   138 0.59 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 9793at5820           -            231   7.2e-06   23.8  13.0   2   3   8.8e-09   1.2e-05   23.1   3.3    69   132   208   270   200   285 0.84 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082770.1-p1      -            378 9793at5820           -            231   7.2e-06   23.8  13.0   3   3   0.00047      0.65    7.6   0.1   181   220   285   324   272   335 0.79 | transcript=PVX_082770.1 | gene=PVX_082770 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr12:707978-709114(-) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122660.1-p1      -            293 9793at5820           -            231   3.3e-05   21.6   2.5   1   2      0.26   3.5e+02   -1.4   0.1   180   205   108   133    84   154 0.71 | transcript=PVX_122660.1 | gene=PVX_122660 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=Pv_Sal1_chr14:759434-761371(-) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122660.1-p1      -            293 9793at5820           -            231   3.3e-05   21.6   2.5   2   2   2.4e-08   3.3e-05   21.6   2.5   121   188   153   221   140   225 0.87 | transcript=PVX_122660.1 | gene=PVX_122660 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=Pv_Sal1_chr14:759434-761371(-) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099785.1-p1      -            156 9793at5820           -            231     0.004   14.8   0.9   1   2   9.7e-06     0.013   13.1   0.3    60   105    11    55     5    94 0.71 | transcript=PVX_099785.1 | gene=PVX_099785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr07:1041058-1041751(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099785.1-p1      -            156 9793at5820           -            231     0.004   14.8   0.9   2   2     0.079   1.1e+02    0.3   0.0   184   198    99   113    81   135 0.72 | transcript=PVX_099785.1 | gene=PVX_099785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=Pv_Sal1_chr07:1041058-1041751(+) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
