#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118220.1-p1      -            885 4429at5820           -            496  8.9e-265  877.4 116.4   1   3     9e-07   0.00012   19.4  31.1     2   107    10   131     9   139 0.80 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 4429at5820           -            496  8.9e-265  877.4 116.4   2   3   1.9e-41   2.5e-39  133.7  42.0    26   167   133   302   129   316 0.79 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 4429at5820           -            496  8.9e-265  877.4 116.4   3   3  4.9e-222  6.4e-220  729.4  29.2     3   496   394   885   392   885 0.81 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 4429at5820           -            496   4.4e-36  123.0  12.7   1   2   3.4e-14   4.5e-12   43.8   1.8   162   300    49   213    39   218 0.78 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119250.1-p1      -           1391 4429at5820           -            496   4.4e-36  123.0  12.7   2   2   7.2e-26   9.5e-24   82.3   0.5   323   490   692   862   671   868 0.85 | transcript=PVX_119250.1 | gene=PVX_119250 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr08:1624641-1628816(-) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 4429at5820           -            496   8.8e-27   92.4  15.1   1   2   5.9e-21   7.8e-19   66.1   7.5   165   304   371   513   337   519 0.85 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 4429at5820           -            496   8.8e-27   92.4  15.1   2   2   6.6e-13   8.7e-11   39.6   0.8   327   493   512   700   509   703 0.70 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 4429at5820           -            496   3.8e-24   83.7  22.0   1   3   2.9e-09   3.8e-07   27.6   2.3   189   313   871  1005   863  1013 0.79 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 4429at5820           -            496   3.8e-24   83.7  22.0   2   3   5.4e-16   7.1e-14   49.8   0.0   325   414  1079  1168  1065  1173 0.90 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118340.1-p1      -           1309 4429at5820           -            496   3.8e-24   83.7  22.0   3   3   4.5e-07   5.9e-05   20.4   0.1   457   493  1268  1304  1218  1307 0.80 | transcript=PVX_118340.1 | gene=PVX_118340 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2612703-2616632(+) | protein_length=1309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 4429at5820           -            496   6.4e-19   66.4  10.1   1   2   1.4e-09   1.8e-07   28.7   6.5   160   302    13   153     1   160 0.81 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
