#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092740.1-p1      -            584 6639at5820           -            446  3.1e-218  723.5  26.7   1   3     4e-70   4.4e-67  225.3   8.9     1   138    23   169    23   182 0.92 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 6639at5820           -            446  3.1e-218  723.5  26.7   2   3   1.6e-27   1.8e-24   84.8   0.0   139   190   206   257   199   263 0.95 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092740.1-p1      -            584 6639at5820           -            446  3.1e-218  723.5  26.7   3   3  2.3e-129  2.6e-126  420.5   6.8   188   446   293   583   288   583 0.93 | transcript=PVX_092740.1 | gene=PVX_092740 | organism=Plasmodium_vivax_Sal-1 | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=Pv_Sal1_chr09:1688353-1690107(-) | protein_length=584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 6639at5820           -            446   2.2e-06   25.2   1.8   1   2   5.7e-09   6.4e-06   23.7   1.0     9    89    46   125    41   141 0.86 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 6639at5820           -            446   2.2e-06   25.2   1.8   2   2      0.03        33    1.5   0.1    22    61   125   163   120   179 0.67 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 6639at5820           -            446    0.0004   17.7   5.1   1   2   0.00032      0.35    8.0   0.7    12    91  1012  1089  1002  1097 0.81 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 6639at5820           -            446    0.0004   17.7   5.1   2   2   3.4e-05     0.038   11.2   0.3    17    66  1125  1174  1113  1187 0.76 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 6639at5820           -            446   0.00041   17.7   7.9   1   2   4.6e-07   0.00051   17.4   4.5     3    80    14    90    12    98 0.79 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 6639at5820           -            446   0.00041   17.7   7.9   2   2     0.037        41    1.2   0.1    24    51   101   128    95   144 0.81 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 6639at5820           -            446   0.00072   16.9   0.0   1   3   6.5e-07   0.00072   16.9   0.0    16    86    26    96    13   100 0.83 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 6639at5820           -            446   0.00072   16.9   0.0   2   3     0.088        98   -0.0   0.2    33    97   142   207   139   243 0.68 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
