#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   1   8   6.6e-11   6.1e-08   29.7  16.2     1    73     1    99     1   113 0.66 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   2   8    0.0035       3.2    4.2  16.0    69   115   120   169   102   191 0.76 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   3   8   4.1e-11   3.8e-08   30.4   7.3    78   160   216   304   187   331 0.68 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   4   8     1e-07   9.2e-05   19.2   0.9   143   169   330   356   308   359 0.90 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   5   8   9.7e-07    0.0009   16.0   7.1   167   222   404   473   398   499 0.67 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   6   8   1.3e-32   1.2e-29  101.4   7.5   208   308   500   601   483   613 0.87 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   7   8   3.4e-58   3.2e-55  185.9  30.6   268   448   609   831   599   842 0.83 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089220.1-p1      -           1053 1452at5820           -            579  5.7e-182  604.4 138.1   8   8   7.2e-77   6.7e-74  247.5   6.0   442   579   911  1053   903  1053 0.94 | transcript=PVX_089220.1 | gene=PVX_089220 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:394154-397315(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096015.1-p1      -            216 1452at5820           -            579     0.012   12.3   0.2   1   1   1.5e-05     0.014   12.1   0.2   287   380    86   180    62   201 0.80 | transcript=PVX_096015.1 | gene=PVX_096015 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr03:873062-873989(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 1452at5820           -            579     0.025   11.2  16.2   1   1   2.9e-05     0.027   11.1  16.2    37   119    51   136    34   143 0.46 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 1452at5820           -            579     0.025   11.2   3.6   1   1   4.6e-05     0.042   10.5   3.6    58   107   472   520   443   542 0.60 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 1452at5820           -            579       2.5    4.6  22.1   1   2     0.015        14    2.1  23.2    49   158    49   155    35   170 0.65 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 1452at5820           -            579       2.5    4.6  22.1   2   2      0.67   6.2e+02   -3.3   0.0   362   383   361   382   358   389 0.87 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116582.1-p1      -            822 1452at5820           -            579       3.8    4.0   9.5   1   2    0.0007      0.65    6.5   1.7    37   103   479   543   463   563 0.61 | transcript=PVX_116582.1 | gene=PVX_116582 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr12:1103176-1105909(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
